,data size,granules,accuracy,recall,precision
0,1000,none,1.0,1.0,1.0
1,1000,50,1.0,1.0,1.0
2,1000,100,0.471,0.48993055555555554,0.35130278526504943
3,1000,200,0.469,0.8156249999999999,0.3801109226899981
4,2000,none,0.996,0.9986111111111112,0.9444444444444445
5,2000,50,1.0,1.0,1.0
6,2000,100,0.6945,0.5675347222222222,0.6570674346052315
7,2000,200,0.388,0.7875,0.3743086978381096
8,5000,none,0.9524,0.9834722222222222,0.7622783049818335
9,5000,50,0.9998,0.9999305555555557,0.9966996699669967
10,5000,100,0.9998,0.9999305555555557,0.9966996699669967
11,5000,200,0.4734,0.8171527777777777,0.3892461149202064
12,10000,none,0.5999,0.8610619161718235,0.39819367604250017
13,10000,50,1.0,1.0,1.0
14,10000,100,1.0,1.0,1.0
15,10000,200,0.5638,0.8485258881133451,0.4108338459618248
16,20000,none,0.58415,0.52921875,0.5021009197162583
17,20000,50,0.9999,0.9999652777777778,0.9983416252072969
18,20000,100,1.0,1.0,1.0
19,20000,200,0.89565,0.9637673611111112,0.7202787830049591
20,30000,none,0.4797666666666667,0.819363425925926,0.38288598261780216
21,30000,50,0.9999,0.9999652777777778,0.9983416252072969
22,30000,100,0.9999333333333333,0.9999768518518518,0.998892580287929
23,30000,200,0.9999,0.9999652777777778,0.9983416252072969
24,40000,none,0.666475,0.5578038194444445,0.3870958010423215
25,40000,50,0.999975,0.9999913194444444,0.9995838535164377
26,40000,100,0.999975,0.9999913194444444,0.9995838535164377
27,40000,200,1.0,1.0,1.0
28,50000,none,0.52984,0.5103611111111112,0.465804588374129
29,50000,50,0.99994,0.9999791666666668,0.9990029910269193
30,50000,100,0.99994,0.9999791666666668,0.9990029910269193
31,50000,200,0.99998,0.9999930555555556,0.9996669996669997
