,data size,granules,accuracy,recall,precision
0,1000,none,1.0,1.0,1.0
1,1000,50,1.0,1.0,1.0
2,1000,100,0.954,0.6576388888888889,0.5562302706089303
3,1000,200,0.932,0.65,0.47769540902588115
4,2000,none,0.9795,0.6664930555555556,0.6598604730304577
5,2000,50,1.0,1.0,1.0
6,2000,100,0.9975,0.9991319444444445,0.9629629629629629
7,2000,200,0.9215,0.3199652777777778,0.31946611197781244
8,5000,none,0.9998,0.9999305555555557,0.9966996699669967
9,5000,50,0.9998,0.9999305555555557,0.9966996699669967
10,5000,100,0.9998,0.9999305555555557,0.9966996699669967
11,5000,200,0.9382,0.3584027777777778,0.42785809365500893
12,10000,none,1.0,1.0,1.0
13,10000,50,1.0,1.0,1.0
14,10000,100,1.0,1.0,1.0
15,10000,200,0.9666,0.6620134041740459,0.6202952414663145
16,20000,none,0.97995,0.6666493055555556,0.6598635984829158
17,20000,50,0.9999,0.9999652777777778,0.9983416252072969
18,20000,100,1.0,1.0,1.0
19,20000,200,0.9989,0.9996180555555556,0.9826224328593997
20,30000,none,0.9799666666666667,0.6666550925925926,0.6598637141852898
21,30000,50,0.9999,0.9999652777777778,0.9983416252072969
22,30000,100,0.9999333333333333,0.9999768518518518,0.998892580287929
23,30000,200,0.9999,0.9999652777777778,0.9983416252072969
24,40000,none,0.97995,0.6666493055555556,0.6598635984829158
25,40000,50,0.999975,0.9999913194444444,0.9995838535164377
26,40000,100,0.999975,0.9999913194444444,0.9995838535164377
27,40000,200,1.0,1.0,1.0
28,50000,none,1.0,1.0,1.0
29,50000,50,0.99994,0.9999791666666668,0.9990029910269193
30,50000,100,0.99994,0.9999791666666668,0.9990029910269193
31,50000,200,0.99998,0.9999930555555556,0.9996669996669997
