,data size,granules number,relation type,ksi,accuracy
0,1000,50,t,0.05,0.491
1,1000,50,t,0.1,0.68
2,1000,50,t,0.15,0.68
3,1000,50,t,0.2,0.68
4,1000,50,t,0.25,0.68
5,1000,50,t,0.3,0.68
6,1000,50,t,0.35,0.68
7,1000,50,t,0.4,0.656
8,1000,50,t,0.45,0.656
9,1000,50,t,0.5,0.433
10,1000,50,t,0.55,0.588
11,1000,50,t,0.6,0.68
12,1000,50,t,0.65,0.491
13,1000,50,t,0.7,0.491
14,1000,50,t,0.75,0.491
15,1000,50,t,0.8,0.68
16,1000,50,t,0.85,0.491
17,1000,50,t,0.9,0.68
18,1000,50,t,0.95,0.68
19,1000,50,e,0.05,0.491
20,1000,50,e,0.1,0.68
21,1000,50,e,0.15,0.68
22,1000,50,e,0.2,0.68
23,1000,50,e,0.25,0.68
24,1000,50,e,0.3,0.68
25,1000,50,e,0.35,0.656
26,1000,50,e,0.4,0.433
27,1000,50,e,0.45,0.68
28,1000,50,e,0.5,0.491
29,1000,50,e,0.55,0.68
30,1000,50,e,0.6,0.68
31,1000,50,e,0.65,0.68
32,1000,50,e,0.7,0.68
33,1000,50,e,0.75,0.68
34,1000,50,e,0.8,0.669
35,1000,50,e,0.85,0.671
36,1000,50,e,0.9,0.671
37,1000,50,e,0.95,0.652
38,1000,50,g,0.05,0.68
39,1000,50,g,0.1,0.656
40,1000,50,g,0.15,0.588
41,1000,50,g,0.2,0.491
42,1000,50,g,0.25,0.491
43,1000,50,g,0.3,0.791
44,1000,50,g,0.35,0.68
45,1000,50,g,0.4,0.679
46,1000,50,g,0.45,0.68
47,1000,50,g,0.5,0.68
48,1000,50,g,0.55,0.68
49,1000,50,g,0.6,0.68
50,1000,50,g,0.65,0.68
51,1000,50,g,0.7,0.656
52,1000,50,g,0.75,0.669
53,1000,50,g,0.8,0.68
54,1000,50,g,0.85,0.671
55,1000,50,g,0.9,0.671
56,1000,50,g,0.95,0.536
57,1000,100,t,0.05,1.0
58,1000,100,t,0.1,1.0
59,1000,100,t,0.15,1.0
60,1000,100,t,0.2,1.0
61,1000,100,t,0.25,1.0
62,1000,100,t,0.3,1.0
63,1000,100,t,0.35,1.0
64,1000,100,t,0.4,1.0
65,1000,100,t,0.45,1.0
66,1000,100,t,0.5,1.0
67,1000,100,t,0.55,1.0
68,1000,100,t,0.6,1.0
69,1000,100,t,0.65,1.0
70,1000,100,t,0.7,1.0
71,1000,100,t,0.75,1.0
72,1000,100,t,0.8,1.0
73,1000,100,t,0.85,1.0
74,1000,100,t,0.9,1.0
