,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.566,0.5566666666666666,0.5480063255393652,0.0
1,1000,50,t,0.1,0.56,0.5295238095238095,0.5255927613763952,0.0
2,1000,50,t,0.15,0.577,0.5188095238095238,0.5174322898967744,0.0
3,1000,50,t,0.2,0.577,0.5188095238095238,0.5174322898967744,0.0
4,1000,50,t,0.25,0.577,0.5188095238095238,0.5174322898967744,0.0
5,1000,50,t,0.3,0.577,0.5188095238095238,0.5174322898967744,0.0
6,1000,50,t,0.35,0.577,0.5188095238095238,0.5174322898967744,0.0
7,1000,50,t,0.4,0.577,0.5188095238095238,0.5174322898967744,0.0
8,1000,50,t,0.45,0.577,0.5188095238095238,0.5174322898967744,0.0
9,1000,50,t,0.5,0.577,0.5188095238095238,0.5174322898967744,0.0
10,1000,50,t,0.55,0.577,0.5188095238095238,0.5174322898967744,0.0
11,1000,50,t,0.6,0.577,0.5188095238095238,0.5174322898967744,0.0
12,1000,50,t,0.65,0.577,0.5188095238095238,0.5174322898967744,0.0
13,1000,50,t,0.7,0.661,0.5788095238095238,0.5853836589606409,0.0
14,1000,50,t,0.75,0.507,0.40214285714285714,0.39738903785370827,0.0
15,1000,50,t,0.8,0.577,0.5188095238095238,0.5174322898967744,0.0
16,1000,50,t,0.85,0.606,0.5395238095238095,0.5382707169073572,0.0
17,1000,50,t,0.9,0.606,0.5395238095238095,0.5382707169073572,0.0
18,1000,50,t,0.95,0.606,0.5395238095238095,0.5382707169073572,0.0
19,1000,50,e,0.05,0.566,0.5566666666666666,0.5480063255393652,0.0
20,1000,50,e,0.1,0.577,0.5188095238095238,0.5174322898967744,0.0
21,1000,50,e,0.15,0.56,0.5295238095238095,0.5255927613763952,0.0
22,1000,50,e,0.2,0.577,0.5188095238095238,0.5174322898967744,0.0
23,1000,50,e,0.25,0.577,0.5188095238095238,0.5174322898967744,0.0
24,1000,50,e,0.3,0.577,0.5188095238095238,0.5174322898967744,0.0
25,1000,50,e,0.35,0.577,0.5188095238095238,0.5174322898967744,0.0
26,1000,50,e,0.4,0.577,0.5188095238095238,0.5174322898967744,0.0
27,1000,50,e,0.45,0.577,0.5188095238095238,0.5174322898967744,0.0
28,1000,50,e,0.5,0.661,0.5788095238095238,0.5853836589606409,0.0
29,1000,50,e,0.55,0.577,0.5188095238095238,0.5174322898967744,0.0
30,1000,50,e,0.6,0.606,0.5395238095238095,0.5382707169073572,0.0
31,1000,50,e,0.65,0.606,0.5395238095238095,0.5382707169073572,0.0
32,1000,50,e,0.7,0.578,0.45285714285714285,0.4394732337189113,0.0
33,1000,50,e,0.75,0.578,0.45285714285714285,0.4394732337189113,0.0
34,1000,50,e,0.8,0.578,0.45285714285714285,0.4394732337189113,0.0
35,1000,50,e,0.85,0.586,0.5442857142857143,0.5395549430919206,0.0
36,1000,50,e,0.9,0.605,0.49785714285714283,0.4974819680937379,0.0
37,1000,50,e,0.95,0.558,0.4976190476190476,0.4978021978021978,0.0
38,1000,50,g,0.05,0.634,0.5414285714285715,0.5461548255665902,0.0
39,1000,50,g,0.1,0.577,0.5188095238095238,0.5174322898967744,0.0
40,1000,50,g,0.15,0.577,0.5188095238095238,0.5174322898967744,0.0
41,1000,50,g,0.2,0.661,0.5788095238095238,0.5853836589606409,0.0
42,1000,50,g,0.25,0.507,0.40214285714285714,0.39738903785370827,0.0
43,1000,50,g,0.3,0.606,0.5395238095238095,0.5382707169073572,0.0
44,1000,50,g,0.35,0.606,0.5395238095238095,0.5382707169073572,0.0
