,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.5225225225225225,0.5148256761159987,0.5139118204610775,0.556
1,1000,50,t,0.1,0.5720720720720721,0.5579667644183773,0.5552221509426153,0.556
2,1000,50,t,0.15,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
3,1000,50,t,0.2,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
4,1000,50,t,0.25,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
5,1000,50,t,0.3,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
6,1000,50,t,0.35,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
7,1000,50,t,0.4,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
8,1000,50,t,0.45,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
9,1000,50,t,0.5,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
10,1000,50,t,0.55,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
11,1000,50,t,0.6,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
12,1000,50,t,0.65,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
13,1000,50,t,0.7,0.6441441441441441,0.5855979146301727,0.6066066066066066,0.556
14,1000,50,t,0.75,0.4797297297297297,0.41515151515151516,0.399537037037037,0.556
15,1000,50,t,0.8,0.5518018018018018,0.5121212121212121,0.5125720980533526,0.556
16,1000,50,t,0.85,0.5968468468468469,0.5479635060280221,0.5536130536130536,0.556
17,1000,50,t,0.9,0.5968468468468469,0.5479635060280221,0.5536130536130536,0.556
18,1000,50,t,0.95,0.5968468468468469,0.5479635060280221,0.5536130536130536,0.556
19,1000,50,e,0.05,0.565,0.5569047619047619,0.5481561629814105,0.0
20,1000,50,e,0.1,0.578,0.5204761904761904,0.5189514138636203,0.0
21,1000,50,e,0.15,0.561,0.5302380952380952,0.5262311063743654,0.0
22,1000,50,e,0.2,0.578,0.5204761904761904,0.5189514138636203,0.0
23,1000,50,e,0.25,0.578,0.5204761904761904,0.5189514138636203,0.0
24,1000,50,e,0.3,0.578,0.5204761904761904,0.5189514138636203,0.0
25,1000,50,e,0.35,0.578,0.5204761904761904,0.5189514138636203,0.0
26,1000,50,e,0.4,0.578,0.5204761904761904,0.5189514138636203,0.0
27,1000,50,e,0.45,0.578,0.5204761904761904,0.5189514138636203,0.0
28,1000,50,e,0.5,0.662,0.5804761904761905,0.5869771080368906,0.0
29,1000,50,e,0.55,0.578,0.5204761904761904,0.5189514138636203,0.0
30,1000,50,e,0.6,0.607,0.5411904761904762,0.5398178964182306,0.0
31,1000,50,e,0.65,0.607,0.5411904761904762,0.5398178964182306,0.0
32,1000,50,e,0.7,0.577,0.45119047619047614,0.4371069182389937,0.0
33,1000,50,e,0.75,0.577,0.45119047619047614,0.4371069182389937,0.0
34,1000,50,e,0.8,0.577,0.45119047619047614,0.4371069182389937,0.0
35,1000,50,e,0.85,0.585,0.5426190476190476,0.5381060241579421,0.0
