,data size,granules,accuracy,recall,precision
0,1000,none,0.588,0.5152380952380953,0.514907573047108
1,1000,50,0.495,0.4211904761904762,0.4269609119514897
2,1000,100,0.529,0.4502380952380952,0.4522113128855678
3,1000,200,0.58,0.5171428571428571,0.5161359724612736
4,2000,none,0.549,0.4921428571428571,0.4928472032564733
5,2000,50,0.615,0.5064285714285715,0.5077176373739453
6,2000,100,0.5115,0.4820238095238095,0.4846280862170942
7,2000,200,0.5555,0.4772619047619048,0.47781316829118414
8,5000,none,0.5282,0.44642857142857145,0.44803959152190886
9,5000,50,0.5594,0.5351904761904762,0.530233006064111
10,5000,100,0.5484,0.4791428571428571,0.4803447265709141
11,5000,200,0.6148,0.5328571428571429,0.5340781129615362
12,10000,none,0.5125,0.47597619047619044,0.479266422606364
13,10000,50,0.5936,0.5003809523809524,0.5004089608223712
14,10000,100,0.5483,0.5191666666666667,0.5165284335254122
15,10000,200,0.5856,0.5456190476190477,0.540588274073041
16,20000,none,0.5409,0.4478333333333333,0.44659764349123016
17,20000,50,0.4943,0.4776904761904762,0.48117999540767786
18,20000,100,0.54975,0.5462023809523809,0.5389264715061287
19,20000,200,0.6052,0.47600000000000003,0.4667941402726201
20,30000,none,0.6088,0.5135873015873016,0.5149605377367213
21,30000,50,0.6133333333333333,0.5511428571428572,0.5490304698855828
22,30000,100,0.564,0.48200000000000004,0.4820747023973805
23,30000,200,0.5025,0.4736269841269841,0.4775048604191369
24,40000,none,0.567575,0.558577380952381,0.5496236460440178
25,40000,50,0.500925,0.48473214285714283,0.4871140939597315
26,40000,100,0.503,0.46166666666666667,0.4667706888580675
27,40000,200,0.515275,0.48341071428571425,0.48576127951318715
28,50000,none,0.60116,0.470447619047619,0.45884620799013487
29,50000,50,0.55468,0.47513333333333335,0.4756333410731772
30,50000,100,0.50994,0.47995714285714286,0.4828567264611503
31,50000,200,0.54242,0.5509666666666666,0.542812164467211
