,data size,granules number,relation type,ksi,accuracy,recall,precision
0,1000,50,t,0.05,0.491,0.3507142857142857,0.31036662452591657
1,1000,50,t,0.1,0.68,0.4857142857142857,0.3469387755102041
2,1000,50,t,0.15,0.68,0.4857142857142857,0.3469387755102041
3,1000,50,t,0.2,0.68,0.4857142857142857,0.3469387755102041
4,1000,50,t,0.25,0.68,0.4857142857142857,0.3469387755102041
5,1000,50,t,0.3,0.68,0.4857142857142857,0.3469387755102041
6,1000,50,t,0.35,0.68,0.4857142857142857,0.3469387755102041
7,1000,50,t,0.4,0.656,0.4685714285714286,0.34309623430962344
8,1000,50,t,0.45,0.656,0.4685714285714286,0.34309623430962344
9,1000,50,t,0.5,0.433,0.3092857142857143,0.29536152796725784
10,1000,50,t,0.55,0.588,0.42,0.3310810810810811
11,1000,50,t,0.6,0.68,0.4857142857142857,0.3469387755102041
12,1000,50,t,0.65,0.491,0.3507142857142857,0.31036662452591657
13,1000,50,t,0.7,0.491,0.3507142857142857,0.31036662452591657
14,1000,50,t,0.75,0.491,0.3507142857142857,0.31036662452591657
15,1000,50,t,0.8,0.68,0.4857142857142857,0.3469387755102041
16,1000,50,t,0.85,0.491,0.3507142857142857,0.31036662452591657
17,1000,50,t,0.9,0.68,0.4857142857142857,0.3469387755102041
18,1000,50,t,0.95,0.68,0.4857142857142857,0.3469387755102041
19,1000,50,e,0.05,0.491,0.3507142857142857,0.31036662452591657
20,1000,50,e,0.1,0.68,0.4857142857142857,0.3469387755102041
21,1000,50,e,0.15,0.68,0.4857142857142857,0.3469387755102041
22,1000,50,e,0.2,0.68,0.4857142857142857,0.3469387755102041
23,1000,50,e,0.25,0.68,0.4857142857142857,0.3469387755102041
24,1000,50,e,0.3,0.68,0.4857142857142857,0.3469387755102041
25,1000,50,e,0.35,0.656,0.4685714285714286,0.34309623430962344
26,1000,50,e,0.4,0.433,0.3092857142857143,0.29536152796725784
27,1000,50,e,0.45,0.68,0.4857142857142857,0.3469387755102041
28,1000,50,e,0.5,0.491,0.3507142857142857,0.31036662452591657
29,1000,50,e,0.55,0.68,0.4857142857142857,0.3469387755102041
30,1000,50,e,0.6,0.68,0.4857142857142857,0.3469387755102041
31,1000,50,e,0.65,0.68,0.4857142857142857,0.3469387755102041
32,1000,50,e,0.7,0.68,0.4857142857142857,0.3469387755102041
33,1000,50,e,0.75,0.68,0.4857142857142857,0.3469387755102041
34,1000,50,e,0.8,0.669,0.47785714285714287,0.34520123839009287
35,1000,50,e,0.85,0.671,0.47928571428571426,0.3455200823892894
36,1000,50,e,0.9,0.671,0.47928571428571426,0.3455200823892894
37,1000,50,e,0.95,0.652,0.4657142857142857,0.34243697478991597
38,1000,50,g,0.05,0.68,0.4857142857142857,0.3469387755102041
39,1000,50,g,0.1,0.656,0.4685714285714286,0.34309623430962344
40,1000,50,g,0.15,0.588,0.42,0.3310810810810811
41,1000,50,g,0.2,0.491,0.3507142857142857,0.31036662452591657
42,1000,50,g,0.25,0.491,0.3507142857142857,0.31036662452591657
43,1000,50,g,0.3,0.791,0.8507142857142858,0.7946954813359528
44,1000,50,g,0.35,0.68,0.4857142857142857,0.3469387755102041
45,1000,50,g,0.4,0.679,0.7707142857142857,0.7415458937198067
46,1000,50,g,0.45,0.68,0.4857142857142857,0.3469387755102041
47,1000,50,g,0.5,0.68,0.4857142857142857,0.3469387755102041
48,1000,50,g,0.55,0.68,0.4857142857142857,0.3469387755102041
49,1000,50,g,0.6,0.68,0.4857142857142857,0.3469387755102041
50,1000,50,g,0.65,0.68,0.4857142857142857,0.3469387755102041
51,1000,50,g,0.7,0.656,0.4685714285714286,0.34309623430962344
52,1000,50,g,0.75,0.669,0.47785714285714287,0.34520123839009287
53,1000,50,g,0.8,0.68,0.4857142857142857,0.3469387755102041
54,1000,50,g,0.85,0.671,0.47928571428571426,0.3455200823892894
55,1000,50,g,0.9,0.671,0.47928571428571426,0.3455200823892894
56,1000,50,g,0.95,0.536,0.38285714285714284,0.32057416267942584
57,1000,100,t,0.05,1.0,1.0,1.0
58,1000,100,t,0.1,1.0,1.0,1.0
59,1000,100,t,0.15,1.0,1.0,1.0
60,1000,100,t,0.2,1.0,1.0,1.0
61,1000,100,t,0.25,1.0,1.0,1.0
62,1000,100,t,0.3,1.0,1.0,1.0
63,1000,100,t,0.35,1.0,1.0,1.0
64,1000,100,t,0.4,1.0,1.0,1.0
65,1000,100,t,0.45,1.0,1.0,1.0
66,1000,100,t,0.5,1.0,1.0,1.0
67,1000,100,t,0.55,1.0,1.0,1.0
68,1000,100,t,0.6,1.0,1.0,1.0
69,1000,100,t,0.65,1.0,1.0,1.0
70,1000,100,t,0.7,1.0,1.0,1.0
71,1000,100,t,0.75,1.0,1.0,1.0
72,1000,100,t,0.8,1.0,1.0,1.0
73,1000,100,t,0.85,1.0,1.0,1.0
74,1000,100,t,0.9,1.0,1.0,1.0
75,1000,100,t,0.95,1.0,1.0,1.0
76,1000,100,e,0.05,1.0,1.0,1.0
77,1000,100,e,0.1,1.0,1.0,1.0
78,1000,100,e,0.15,1.0,1.0,1.0
79,1000,100,e,0.2,1.0,1.0,1.0
80,1000,100,e,0.25,1.0,1.0,1.0
81,1000,100,e,0.3,1.0,1.0,1.0
82,1000,100,e,0.35,1.0,1.0,1.0
83,1000,100,e,0.4,1.0,1.0,1.0
84,1000,100,e,0.45,1.0,1.0,1.0
85,1000,100,e,0.5,1.0,1.0,1.0
86,1000,100,e,0.55,1.0,1.0,1.0
87,1000,100,e,0.6,1.0,1.0,1.0
88,1000,100,e,0.65,1.0,1.0,1.0
89,1000,100,e,0.7,1.0,1.0,1.0
90,1000,100,e,0.75,1.0,1.0,1.0
91,1000,100,e,0.8,1.0,1.0,1.0
92,1000,100,e,0.85,1.0,1.0,1.0
93,1000,100,e,0.9,1.0,1.0,1.0
94,1000,100,e,0.95,1.0,1.0,1.0
95,1000,100,g,0.05,1.0,1.0,1.0
96,1000,100,g,0.1,1.0,1.0,1.0
97,1000,100,g,0.15,1.0,1.0,1.0
98,1000,100,g,0.2,1.0,1.0,1.0
99,1000,100,g,0.25,1.0,1.0,1.0
100,1000,100,g,0.3,1.0,1.0,1.0
101,1000,100,g,0.35,1.0,1.0,1.0
102,1000,100,g,0.4,1.0,1.0,1.0
103,1000,100,g,0.45,1.0,1.0,1.0
104,1000,100,g,0.5,1.0,1.0,1.0
105,1000,100,g,0.55,1.0,1.0,1.0
106,1000,100,g,0.6,1.0,1.0,1.0
107,1000,100,g,0.65,1.0,1.0,1.0
108,1000,100,g,0.7,1.0,1.0,1.0
109,1000,100,g,0.75,1.0,1.0,1.0
110,1000,100,g,0.8,1.0,1.0,1.0
111,1000,100,g,0.85,1.0,1.0,1.0
112,1000,100,g,0.9,1.0,1.0,1.0
113,1000,100,g,0.95,0.807,0.8621428571428571,0.8042596348884381
114,1000,200,t,0.05,1.0,1.0,1.0
115,1000,200,t,0.1,1.0,1.0,1.0
116,1000,200,t,0.15,1.0,1.0,1.0
117,1000,200,t,0.2,1.0,1.0,1.0
118,1000,200,t,0.25,1.0,1.0,1.0
119,1000,200,t,0.3,1.0,1.0,1.0
120,1000,200,t,0.35,1.0,1.0,1.0
121,1000,200,t,0.4,1.0,1.0,1.0
122,1000,200,t,0.45,1.0,1.0,1.0
123,1000,200,t,0.5,1.0,1.0,1.0
124,1000,200,t,0.55,1.0,1.0,1.0
125,1000,200,t,0.6,1.0,1.0,1.0
126,1000,200,t,0.65,1.0,1.0,1.0
127,1000,200,t,0.7,1.0,1.0,1.0
128,1000,200,t,0.75,1.0,1.0,1.0
129,1000,200,t,0.8,1.0,1.0,1.0
130,1000,200,t,0.85,1.0,1.0,1.0
131,1000,200,t,0.9,1.0,1.0,1.0
132,1000,200,t,0.95,1.0,1.0,1.0
133,1000,200,e,0.05,1.0,1.0,1.0
134,1000,200,e,0.1,1.0,1.0,1.0
135,1000,200,e,0.15,1.0,1.0,1.0
136,1000,200,e,0.2,1.0,1.0,1.0
137,1000,200,e,0.25,1.0,1.0,1.0
138,1000,200,e,0.3,1.0,1.0,1.0
139,1000,200,e,0.35,1.0,1.0,1.0
