,data size,granules number,relation type,ksi,accuracy
0,1000,50,t,0.05,0.802
1,1000,50,t,0.1,1.0
2,1000,50,t,0.15,0.802
3,1000,50,t,0.2,1.0
4,1000,50,t,0.25,0.802
5,1000,50,t,0.3,0.698
6,1000,50,t,0.35,0.722
7,1000,50,t,0.4,0.722
8,1000,50,t,0.45,0.722
9,1000,50,t,0.5,0.712
10,1000,50,t,0.55,1.0
11,1000,50,t,0.6,0.494
12,1000,50,t,0.65,0.796
13,1000,50,t,0.7,0.584
14,1000,50,t,0.75,0.584
15,1000,50,t,0.8,0.584
16,1000,50,t,0.85,0.584
17,1000,50,t,0.9,0.788
18,1000,50,t,0.95,0.788
19,1000,50,e,0.05,0.802
20,1000,50,e,0.1,1.0
21,1000,50,e,0.15,0.802
22,1000,50,e,0.2,1.0
23,1000,50,e,0.25,0.802
24,1000,50,e,0.3,0.722
25,1000,50,e,0.35,0.722
26,1000,50,e,0.4,0.712
27,1000,50,e,0.45,0.494
28,1000,50,e,0.5,0.584
29,1000,50,e,0.55,0.584
30,1000,50,e,0.6,0.788
31,1000,50,e,0.65,0.544
32,1000,50,e,0.7,0.764
33,1000,50,e,0.75,0.368
34,1000,50,e,0.8,0.778
35,1000,50,e,0.85,0.708
36,1000,50,e,0.9,0.374
37,1000,50,e,0.95,0.514
38,1000,50,g,0.05,0.722
39,1000,50,g,0.1,0.722
40,1000,50,g,0.15,1.0
41,1000,50,g,0.2,0.584
42,1000,50,g,0.25,0.584
43,1000,50,g,0.3,0.584
44,1000,50,g,0.35,0.788
45,1000,50,g,0.4,0.544
46,1000,50,g,0.45,0.788
47,1000,50,g,0.5,0.788
48,1000,50,g,0.55,0.764
49,1000,50,g,0.6,0.316
50,1000,50,g,0.65,0.368
51,1000,50,g,0.7,0.778
52,1000,50,g,0.75,0.574
53,1000,50,g,0.8,0.788
54,1000,50,g,0.85,0.788
55,1000,50,g,0.9,0.544
56,1000,50,g,0.95,0.374
57,1000,100,t,0.05,0.528
58,1000,100,t,0.1,0.528
59,1000,100,t,0.15,0.513
60,1000,100,t,0.2,0.528
61,1000,100,t,0.25,0.528
62,1000,100,t,0.3,0.389
63,1000,100,t,0.35,0.512
64,1000,100,t,0.4,0.389
65,1000,100,t,0.45,0.388
66,1000,100,t,0.5,0.365
67,1000,100,t,0.55,0.513
68,1000,100,t,0.6,0.707
69,1000,100,t,0.65,0.497
70,1000,100,t,0.7,0.497
71,1000,100,t,0.75,0.512
72,1000,100,t,0.8,0.374
73,1000,100,t,0.85,0.389
74,1000,100,t,0.9,0.389
75,1000,100,t,0.95,0.348
76,1000,100,e,0.05,0.528
77,1000,100,e,0.1,0.528
78,1000,100,e,0.15,0.513
79,1000,100,e,0.2,0.528
80,1000,100,e,0.25,0.389
81,1000,100,e,0.3,0.512
82,1000,100,e,0.35,0.388
83,1000,100,e,0.4,0.365
84,1000,100,e,0.45,0.707
85,1000,100,e,0.5,0.497
86,1000,100,e,0.55,0.374
87,1000,100,e,0.6,0.365
88,1000,100,e,0.65,0.484
89,1000,100,e,0.7,0.438
90,1000,100,e,0.75,0.349
91,1000,100,e,0.8,0.333
92,1000,100,e,0.85,0.333
93,1000,100,e,0.9,0.351
94,1000,100,e,0.95,0.497
95,1000,100,g,0.05,0.596
96,1000,100,g,0.1,0.388
97,1000,100,g,0.15,0.497
98,1000,100,g,0.2,0.497
99,1000,100,g,0.25,0.497
100,1000,100,g,0.3,0.389
101,1000,100,g,0.35,0.348
102,1000,100,g,0.4,0.473
103,1000,100,g,0.45,0.423
104,1000,100,g,0.5,0.707
105,1000,100,g,0.55,0.423
106,1000,100,g,0.6,0.349
107,1000,100,g,0.65,0.333
108,1000,100,g,0.7,0.376
109,1000,100,g,0.75,0.515
110,1000,100,g,0.8,0.513
111,1000,100,g,0.85,0.707
112,1000,100,g,0.9,0.33
113,1000,100,g,0.95,0.303
114,1000,200,t,0.05,0.765
115,1000,200,t,0.1,0.765
116,1000,200,t,0.15,0.765
117,1000,200,t,0.2,0.765
118,1000,200,t,0.25,0.551
119,1000,200,t,0.3,0.551
120,1000,200,t,0.35,0.479
121,1000,200,t,0.4,0.479
122,1000,200,t,0.45,0.479
123,1000,200,t,0.5,0.479
124,1000,200,t,0.55,0.765
125,1000,200,t,0.6,0.521
126,1000,200,t,0.65,0.479
127,1000,200,t,0.7,0.521
128,1000,200,t,0.75,0.521
129,1000,200,t,0.8,0.735
130,1000,200,t,0.85,0.521
131,1000,200,t,0.9,0.521
132,1000,200,t,0.95,0.765
133,1000,200,e,0.05,0.765
134,1000,200,e,0.1,0.765
135,1000,200,e,0.15,0.765
136,1000,200,e,0.2,0.765
137,1000,200,e,0.25,0.551
138,1000,200,e,0.3,0.479
139,1000,200,e,0.35,0.479
140,1000,200,e,0.4,0.551
141,1000,200,e,0.45,0.521
142,1000,200,e,0.5,0.521
143,1000,200,e,0.55,0.735
144,1000,200,e,0.6,0.521
145,1000,200,e,0.65,0.365
146,1000,200,e,0.7,0.735
147,1000,200,e,0.75,0.735
148,1000,200,e,0.8,0.563
149,1000,200,e,0.85,0.765
150,1000,200,e,0.9,0.335
151,1000,200,e,0.95,0.301
152,1000,200,g,0.05,0.551
153,1000,200,g,0.1,0.479
154,1000,200,g,0.15,0.735
155,1000,200,g,0.2,0.521
156,1000,200,g,0.25,0.521
157,1000,200,g,0.3,0.521
158,1000,200,g,0.35,0.521
159,1000,200,g,0.4,0.563
160,1000,200,g,0.45,0.563
161,1000,200,g,0.5,0.735
162,1000,200,g,0.55,0.521
