,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.594,0.594,0.5959691944293903,0.0
1,1000,50,t,0.1,0.594,0.594,0.5959691944293903,0.0
2,1000,50,t,0.15,0.594,0.594,0.5959691944293903,0.0
3,1000,50,t,0.2,0.594,0.594,0.5959691944293903,0.0
4,1000,50,t,0.25,0.592,0.5920000000000001,0.506297073258578,0.0
5,1000,50,t,0.3,0.594,0.594,0.5959691944293903,0.0
6,1000,50,t,0.35,0.592,0.5920000000000001,0.506297073258578,0.0
7,1000,50,t,0.4,0.594,0.594,0.5959691944293903,0.0
8,1000,50,t,0.45,0.594,0.594,0.5959691944293903,0.0
9,1000,50,t,0.5,0.546,0.546,0.49607834461879674,0.0
10,1000,50,t,0.55,0.594,0.594,0.5959691944293903,0.0
11,1000,50,t,0.6,0.594,0.594,0.5959691944293903,0.0
12,1000,50,t,0.65,0.594,0.594,0.5959691944293903,0.0
13,1000,50,t,0.7,0.57,0.5700000000000001,0.5163244406407961,0.0
14,1000,50,t,0.75,0.543,0.543,0.4749091443481036,0.0
15,1000,50,t,0.8,0.543,0.543,0.4749091443481036,0.0
16,1000,50,t,0.85,0.538,0.5379999999999999,0.5468829486402299,0.0
17,1000,50,t,0.9,0.544,0.544,0.46819858148334315,0.0
18,1000,50,t,0.95,0.544,0.544,0.46819858148334315,0.0
19,1000,50,e,0.05,0.594,0.594,0.5959691944293903,0.0
20,1000,50,e,0.1,0.594,0.594,0.5959691944293903,0.0
21,1000,50,e,0.15,0.594,0.594,0.5959691944293903,0.0
22,1000,50,e,0.2,0.592,0.5920000000000001,0.506297073258578,0.0
23,1000,50,e,0.25,0.594,0.594,0.5959691944293903,0.0
24,1000,50,e,0.3,0.592,0.5920000000000001,0.506297073258578,0.0
25,1000,50,e,0.35,0.594,0.594,0.5959691944293903,0.0
26,1000,50,e,0.4,0.546,0.546,0.49607834461879674,0.0
27,1000,50,e,0.45,0.594,0.594,0.5959691944293903,0.0
28,1000,50,e,0.5,0.57,0.5700000000000001,0.5163244406407961,0.0
29,1000,50,e,0.55,0.543,0.543,0.4749091443481036,0.0
30,1000,50,e,0.6,0.544,0.544,0.46819858148334315,0.0
31,1000,50,e,0.65,0.544,0.544,0.4698915054247288,0.0
32,1000,50,e,0.7,0.544,0.544,0.4698915054247288,0.0
33,1000,50,e,0.75,0.55,0.55,0.57052408181122,0.0
34,1000,50,e,0.8,0.44,0.44,0.38835881192818317,0.0
35,1000,50,e,0.85,0.52,0.5199999999999999,0.5231940474054071,0.0
36,1000,50,e,0.9,0.582,0.5820000000000001,0.5072304890948252,0.0
37,1000,50,e,0.95,0.5,0.5,0.42875083968573846,0.0
38,1000,50,g,0.05,0.592,0.5920000000000001,0.506297073258578,0.0
39,1000,50,g,0.1,0.594,0.594,0.5959691944293903,0.0
40,1000,50,g,0.15,0.594,0.594,0.5959691944293903,0.0
41,1000,50,g,0.2,0.57,0.5700000000000001,0.5163244406407961,0.0
42,1000,50,g,0.25,0.543,0.543,0.4749091443481036,0.0
43,1000,50,g,0.3,0.538,0.5379999999999999,0.5468829486402299,0.0
44,1000,50,g,0.35,0.544,0.544,0.46819858148334315,0.0
45,1000,50,g,0.4,0.544,0.544,0.4698915054247288,0.0
46,1000,50,g,0.45,0.544,0.544,0.4698915054247288,0.0
47,1000,50,g,0.5,0.544,0.544,0.4698915054247288,0.0
48,1000,50,g,0.55,0.44,0.44,0.38835881192818317,0.0
49,1000,50,g,0.6,0.44,0.44,0.38835881192818317,0.0
50,1000,50,g,0.65,0.44,0.44,0.38835881192818317,0.0
51,1000,50,g,0.7,0.52,0.52,0.5276127202567076,0.0
52,1000,50,g,0.75,0.522,0.522,0.46401828260235334,0.0
53,1000,50,g,0.8,0.513,0.513,0.41149487942716195,0.0
54,1000,50,g,0.85,0.462,0.462,0.3952933818097351,0.0
55,1000,50,g,0.9,0.573,0.5730000000000001,0.5158961623795678,0.0
56,1000,50,g,0.95,0.51,0.51,0.48768083780312765,0.0
57,1000,100,t,0.05,0.51,0.51,0.4715757009808166,0.0
58,1000,100,t,0.1,0.541,0.541,0.4717732498257369,0.0
59,1000,100,t,0.15,0.51,0.51,0.4715757009808166,0.0
60,1000,100,t,0.2,0.51,0.51,0.4715757009808166,0.0
61,1000,100,t,0.25,0.541,0.541,0.4717732498257369,0.0
62,1000,100,t,0.3,0.517,0.517,0.4763645578706398,0.0
63,1000,100,t,0.35,0.517,0.517,0.4763645578706398,0.0
64,1000,100,t,0.4,0.445,0.445,0.39154050762997233,0.0
65,1000,100,t,0.45,0.445,0.445,0.39154050762997233,0.0
66,1000,100,t,0.5,0.517,0.517,0.47376633045148897,0.0
67,1000,100,t,0.55,0.457,0.457,0.4137036656942722,0.0
68,1000,100,t,0.6,0.452,0.45199999999999996,0.390119866354502,0.0
69,1000,100,t,0.65,0.526,0.526,0.5505114153460697,0.0
70,1000,100,t,0.7,0.541,0.541,0.4717732498257369,0.0
71,1000,100,t,0.75,0.541,0.541,0.4717732498257369,0.0
72,1000,100,t,0.8,0.541,0.541,0.4717732498257369,0.0
73,1000,100,t,0.85,0.448,0.448,0.3868699331113942,0.0
74,1000,100,t,0.9,0.448,0.448,0.3868699331113942,0.0
75,1000,100,t,0.95,0.457,0.457,0.3955294883462258,0.0
76,1000,100,e,0.05,0.51,0.51,0.4715757009808166,0.0
77,1000,100,e,0.1,0.51,0.51,0.4715757009808166,0.0
78,1000,100,e,0.15,0.51,0.51,0.4715757009808166,0.0
79,1000,100,e,0.2,0.541,0.541,0.4717732498257369,0.0
80,1000,100,e,0.25,0.517,0.517,0.47376633045148897,0.0
81,1000,100,e,0.3,0.517,0.517,0.4763645578706398,0.0
82,1000,100,e,0.35,0.445,0.445,0.39154050762997233,0.0
83,1000,100,e,0.4,0.457,0.457,0.3955294883462258,0.0
84,1000,100,e,0.45,0.452,0.45199999999999996,0.390119866354502,0.0
