,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
1,1000,50,t,0.1,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
2,1000,50,t,0.15,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
3,1000,50,t,0.2,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
4,1000,50,t,0.25,0.6531914893617021,0.6301958581204472,0.5344855852433413,0.53
5,1000,50,t,0.3,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
6,1000,50,t,0.35,0.6531914893617021,0.6301958581204472,0.5344855852433413,0.53
7,1000,50,t,0.4,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
8,1000,50,t,0.45,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
9,1000,50,t,0.5,0.6,0.5870924098445852,0.5280583282613106,0.53
10,1000,50,t,0.55,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
11,1000,50,t,0.6,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
12,1000,50,t,0.65,0.5638297872340425,0.5473727836763609,0.49894262295081965,0.53
13,1000,50,t,0.7,0.5893617021276596,0.5878021269738962,0.5444455688191706,0.53
14,1000,50,t,0.75,0.5680851063829787,0.5644376409925878,0.4856152405713667,0.53
15,1000,50,t,0.8,0.5680851063829787,0.5644376409925878,0.4856152405713667,0.53
16,1000,50,t,0.85,0.474468085106383,0.4584344415314444,0.40939021707612167,0.53
17,1000,50,t,0.9,0.5680851063829787,0.5644376409925878,0.4743320405085111,0.53
18,1000,50,t,0.95,0.5680851063829787,0.5644376409925878,0.4743320405085111,0.53
19,1000,50,e,0.05,0.594,0.594,0.5960109865436778,0.0
20,1000,50,e,0.1,0.594,0.594,0.5960109865436778,0.0
21,1000,50,e,0.15,0.594,0.594,0.5960109865436778,0.0
22,1000,50,e,0.2,0.591,0.591,0.5049963805747018,0.0
23,1000,50,e,0.25,0.594,0.594,0.5960109865436778,0.0
24,1000,50,e,0.3,0.591,0.591,0.5049963805747018,0.0
25,1000,50,e,0.35,0.594,0.594,0.5960109865436778,0.0
26,1000,50,e,0.4,0.546,0.546,0.49493716405481114,0.0
27,1000,50,e,0.45,0.594,0.594,0.5960109865436778,0.0
28,1000,50,e,0.5,0.57,0.5700000000000001,0.5181658921287113,0.0
29,1000,50,e,0.55,0.546,0.546,0.4751882637112816,0.0
30,1000,50,e,0.6,0.548,0.548,0.4690851110356082,0.0
31,1000,50,e,0.65,0.548,0.548,0.47141835468903137,0.0
32,1000,50,e,0.7,0.548,0.548,0.47141835468903137,0.0
33,1000,50,e,0.75,0.546,0.546,0.5656129427283025,0.0
34,1000,50,e,0.8,0.439,0.439,0.3872802773361175,0.0
35,1000,50,e,0.85,0.523,0.5229999999999999,0.5265689025314717,0.0
36,1000,50,e,0.9,0.587,0.587,0.5096165357437704,0.0
37,1000,50,e,0.95,0.505,0.505,0.4313615223751478,0.0
38,1000,50,g,0.05,0.592,0.5920000000000001,0.5060626426401198,0.0
39,1000,50,g,0.1,0.593,0.593,0.5950052991459653,0.0
40,1000,50,g,0.15,0.593,0.593,0.5950052991459653,0.0
41,1000,50,g,0.2,0.571,0.5710000000000001,0.5183402109444162,0.0
42,1000,50,g,0.25,0.544,0.544,0.47453736650866024,0.0
43,1000,50,g,0.3,0.54,0.5399999999999999,0.5490187938239914,0.0
44,1000,50,g,0.35,0.546,0.546,0.46843421383298683,0.0
45,1000,50,g,0.4,0.546,0.546,0.4703822889663597,0.0
46,1000,50,g,0.45,0.546,0.546,0.4703822889663597,0.0
47,1000,50,g,0.5,0.546,0.546,0.4703822889663597,0.0
48,1000,50,g,0.55,0.438,0.438,0.38768694451002034,0.0
49,1000,50,g,0.6,0.438,0.438,0.38768694451002034,0.0
50,1000,50,g,0.65,0.438,0.438,0.38768694451002034,0.0
51,1000,50,g,0.7,0.522,0.522,0.5302150653700712,0.0
52,1000,50,g,0.75,0.52,0.52,0.46343706799899853,0.0
53,1000,50,g,0.8,0.515,0.515,0.4120865992938277,0.0
54,1000,50,g,0.85,0.464,0.464,0.3958851016764009,0.0
55,1000,50,g,0.9,0.573,0.5730000000000001,0.5144547922012762,0.0
56,1000,50,g,0.95,0.516,0.516,0.49207617901971945,0.0
57,1000,100,t,0.05,0.5538160469667319,0.5571635470194017,0.5003788174978496,0.489
58,1000,100,t,0.1,0.5949119373776908,0.5985021296965671,0.5053688052247407,0.489
59,1000,100,t,0.15,0.5538160469667319,0.5571635470194017,0.5003788174978496,0.489
60,1000,100,t,0.2,0.5538160469667319,0.5571635470194017,0.5003788174978496,0.489
61,1000,100,t,0.25,0.5949119373776908,0.5985021296965671,0.5053688052247407,0.489
62,1000,100,t,0.3,0.5616438356164384,0.5559660811629316,0.5068453098625513,0.489
63,1000,100,t,0.35,0.5616438356164384,0.5559660811629316,0.5068453098625513,0.489
64,1000,100,t,0.4,0.512720156555773,0.5140078837849983,0.5179648927372371,0.489
65,1000,100,t,0.45,0.512720156555773,0.5140078837849983,0.5179648927372371,0.489
