,data size,granules,accuracy,recall,precision
0,1000,none,0.611,0.611,0.6118366594049233
1,1000,50,0.594,0.594,0.5959691944293903
2,1000,100,0.541,0.541,0.4717732498257369
3,1000,200,0.597,0.597,0.5974492673242285
4,2000,none,0.4545,0.4545,0.39759369494481
5,2000,50,0.434,0.434,0.47916341260907613
6,2000,100,0.5465,0.5465,0.4738954178962047
7,2000,200,0.5515,0.5515,0.5634654189563538
8,5000,none,0.4586,0.45859999999999995,0.3954900001029677
9,5000,50,0.4322,0.43220000000000003,0.38377911563710215
10,5000,100,0.5954,0.5954,0.5963066984022718
11,5000,200,0.4344,0.4344,0.3874074367577891
12,10000,none,0.6196,0.6196,0.6246538181532335
13,10000,50,0.4251,0.42510000000000003,0.4682140541092233
14,10000,100,0.5211,0.5211,0.4844075365227918
15,10000,200,0.5559,0.5559,0.5676729962489026
16,20000,none,0.5351,0.5351,0.4949219219925741
17,20000,50,0.5076,0.5076,0.5084935364662471
18,20000,100,0.5185,0.5185,0.522577021386218
19,20000,200,0.46215,0.46215,0.3943642878378871
20,30000,none,0.5139666666666667,0.5139666666666667,0.46663119721308427
21,30000,50,0.5141,0.5141,0.5346301993256445
22,30000,100,0.4318,0.4318,0.38199675859149146
23,30000,200,0.48136666666666666,0.48136666666666666,0.4011243261960318
24,40000,none,0.518875,0.518875,0.5222819409989403
25,40000,50,0.4408,0.44079999999999997,0.3829076467930491
26,40000,100,0.45005,0.45005,0.38848737317314563
27,40000,200,0.541475,0.541475,0.5500943152295873
28,50000,none,0.50062,0.5006200000000001,0.45115049026631926
29,50000,50,0.50684,0.50684,0.4700093712466491
30,50000,100,0.43832,0.43832,0.38519653923548935
31,50000,200,0.48032,0.48031999999999997,0.4007702475333004
