,data size,granules number,relation type,ksi,accuracy,recall,precision
0,1000,50,t,0.05,0.802,0.802,0.8895089285714286
1,1000,50,t,0.1,1.0,1.0,1.0
2,1000,50,t,0.15,0.802,0.802,0.8895089285714286
3,1000,50,t,0.2,1.0,1.0,1.0
4,1000,50,t,0.25,0.802,0.802,0.8895089285714286
5,1000,50,t,0.3,0.698,0.698,0.625
6,1000,50,t,0.35,0.722,0.722,0.625
7,1000,50,t,0.4,0.722,0.722,0.625
8,1000,50,t,0.45,0.722,0.722,0.625
9,1000,50,t,0.5,0.712,0.712,0.625
10,1000,50,t,0.55,1.0,1.0,1.0
11,1000,50,t,0.6,0.494,0.494,0.5887784090909091
12,1000,50,t,0.65,0.796,0.796,0.8876651982378855
13,1000,50,t,0.7,0.584,0.5840000000000001,0.8438438438438438
14,1000,50,t,0.75,0.584,0.5840000000000001,0.8438438438438438
15,1000,50,t,0.8,0.584,0.5840000000000001,0.8438438438438438
16,1000,50,t,0.85,0.584,0.5840000000000001,0.8438438438438438
17,1000,50,t,0.9,0.788,0.788,0.8852813852813852
18,1000,50,t,0.95,0.788,0.788,0.8852813852813852
19,1000,50,e,0.05,0.802,0.802,0.8895089285714286
20,1000,50,e,0.1,1.0,1.0,1.0
21,1000,50,e,0.15,0.802,0.802,0.8895089285714286
22,1000,50,e,0.2,1.0,1.0,1.0
23,1000,50,e,0.25,0.802,0.802,0.8895089285714286
24,1000,50,e,0.3,0.722,0.722,0.625
25,1000,50,e,0.35,0.722,0.722,0.625
26,1000,50,e,0.4,0.712,0.712,0.625
27,1000,50,e,0.45,0.494,0.494,0.5887784090909091
28,1000,50,e,0.5,0.584,0.5840000000000001,0.8438438438438438
29,1000,50,e,0.55,0.584,0.5840000000000001,0.8438438438438438
30,1000,50,e,0.6,0.788,0.788,0.8852813852813852
31,1000,50,e,0.65,0.544,0.544,0.593562874251497
32,1000,50,e,0.7,0.764,0.764,0.8786008230452675
33,1000,50,e,0.75,0.368,0.368,0.5720046082949308
34,1000,50,e,0.8,0.778,0.778,0.8824152542372882
35,1000,50,e,0.85,0.708,0.7080000000000001,0.8246753246753247
36,1000,50,e,0.9,0.374,0.374,0.5745823389021479
37,1000,50,e,0.95,0.514,0.514,0.5863259668508287
38,1000,50,g,0.05,0.722,0.722,0.625
39,1000,50,g,0.1,0.722,0.722,0.625
40,1000,50,g,0.15,1.0,1.0,1.0
41,1000,50,g,0.2,0.584,0.5840000000000001,0.8438438438438438
42,1000,50,g,0.25,0.584,0.5840000000000001,0.8438438438438438
43,1000,50,g,0.3,0.584,0.5840000000000001,0.8438438438438438
44,1000,50,g,0.35,0.788,0.788,0.8852813852813852
45,1000,50,g,0.4,0.544,0.544,0.593562874251497
46,1000,50,g,0.45,0.788,0.788,0.8852813852813852
47,1000,50,g,0.5,0.788,0.788,0.8852813852813852
48,1000,50,g,0.55,0.764,0.764,0.8786008230452675
49,1000,50,g,0.6,0.316,0.316,0.5679347826086957
50,1000,50,g,0.65,0.368,0.368,0.5720046082949308
51,1000,50,g,0.7,0.778,0.778,0.8824152542372882
52,1000,50,g,0.75,0.574,0.5740000000000001,0.8424556213017751
53,1000,50,g,0.8,0.788,0.788,0.8852813852813852
54,1000,50,g,0.85,0.788,0.788,0.8852813852813852
55,1000,50,g,0.9,0.544,0.544,0.5456864564007421
56,1000,50,g,0.95,0.374,0.374,0.5745823389021479
57,1000,100,t,0.05,0.528,0.528,0.590057636887608
58,1000,100,t,0.1,0.528,0.528,0.590057636887608
59,1000,100,t,0.15,0.513,0.513,0.590057636887608
60,1000,100,t,0.2,0.528,0.528,0.590057636887608
61,1000,100,t,0.25,0.528,0.528,0.590057636887608
62,1000,100,t,0.3,0.389,0.38899999999999996,0.8225900116144018
63,1000,100,t,0.35,0.512,0.512,0.5880281690140845
64,1000,100,t,0.4,0.389,0.38899999999999996,0.8225900116144018
65,1000,100,t,0.45,0.388,0.38799999999999996,0.8225058004640371
66,1000,100,t,0.5,0.365,0.365,0.8206214689265536
67,1000,100,t,0.55,0.513,0.513,0.590057636887608
68,1000,100,t,0.6,0.707,0.707,0.625
69,1000,100,t,0.65,0.497,0.49699999999999994,0.5880281690140845
70,1000,100,t,0.7,0.497,0.49699999999999994,0.5880281690140845
71,1000,100,t,0.75,0.512,0.512,0.5880281690140845
72,1000,100,t,0.8,0.374,0.374,0.8213470319634704
73,1000,100,t,0.85,0.389,0.38899999999999996,0.8225900116144018
74,1000,100,t,0.9,0.389,0.38899999999999996,0.8225900116144018
75,1000,100,t,0.95,0.348,0.348,0.8192904656319291
76,1000,100,e,0.05,0.528,0.528,0.590057636887608
77,1000,100,e,0.1,0.528,0.528,0.590057636887608
78,1000,100,e,0.15,0.513,0.513,0.590057636887608
79,1000,100,e,0.2,0.528,0.528,0.590057636887608
80,1000,100,e,0.25,0.389,0.38899999999999996,0.8225900116144018
81,1000,100,e,0.3,0.512,0.512,0.5880281690140845
82,1000,100,e,0.35,0.388,0.38799999999999996,0.8225058004640371
83,1000,100,e,0.4,0.365,0.365,0.8206214689265536
84,1000,100,e,0.45,0.707,0.707,0.625
85,1000,100,e,0.5,0.497,0.49699999999999994,0.5880281690140845
86,1000,100,e,0.55,0.374,0.374,0.8213470319634704
87,1000,100,e,0.6,0.365,0.365,0.8206214689265536
88,1000,100,e,0.65,0.484,0.484,0.5864453665283541
89,1000,100,e,0.7,0.438,0.438,0.3333333333333333
90,1000,100,e,0.75,0.349,0.349,0.5725058004640371
91,1000,100,e,0.8,0.333,0.33299999999999996,0.5704622322435174
92,1000,100,e,0.85,0.333,0.33299999999999996,0.5704622322435174
93,1000,100,e,0.9,0.351,0.351,0.5722543352601156
94,1000,100,e,0.95,0.497,0.49699999999999994,0.5285880369382673
95,1000,100,g,0.05,0.596,0.5960000000000001,0.845565749235474
96,1000,100,g,0.1,0.388,0.38799999999999996,0.8225058004640371
97,1000,100,g,0.15,0.497,0.49699999999999994,0.5880281690140845
98,1000,100,g,0.2,0.497,0.49699999999999994,0.5880281690140845
99,1000,100,g,0.25,0.497,0.49699999999999994,0.5880281690140845
100,1000,100,g,0.3,0.389,0.38899999999999996,0.8225900116144018
101,1000,100,g,0.35,0.348,0.348,0.8192904656319291
102,1000,100,g,0.4,0.473,0.473,0.5851498637602179
103,1000,100,g,0.45,0.423,0.423,0.3333333333333333
104,1000,100,g,0.5,0.707,0.707,0.625
105,1000,100,g,0.55,0.423,0.423,0.3333333333333333
106,1000,100,g,0.6,0.349,0.349,0.5720876585928489
107,1000,100,g,0.65,0.333,0.33299999999999996,0.5704622322435174
108,1000,100,g,0.7,0.376,0.376,0.8215102974828375
109,1000,100,g,0.75,0.515,0.515,0.5903179190751445
110,1000,100,g,0.8,0.513,0.513,0.590057636887608
111,1000,100,g,0.85,0.707,0.707,0.625
112,1000,100,g,0.9,0.33,0.33,0.8179347826086957
113,1000,100,g,0.95,0.303,0.303,0.5662778366914104
114,1000,200,t,0.05,0.765,0.765,0.8788659793814433
115,1000,200,t,0.1,0.765,0.765,0.8788659793814433
116,1000,200,t,0.15,0.765,0.765,0.8788659793814433
117,1000,200,t,0.2,0.765,0.765,0.8788659793814433
118,1000,200,t,0.25,0.551,0.551,0.7635642552435122
119,1000,200,t,0.3,0.551,0.551,0.7635642552435122
120,1000,200,t,0.35,0.479,0.479,0.5850340136054422
121,1000,200,t,0.4,0.479,0.479,0.5850340136054422
122,1000,200,t,0.45,0.479,0.479,0.5850340136054422
123,1000,200,t,0.5,0.479,0.479,0.5850340136054422
124,1000,200,t,0.55,0.765,0.765,0.8788659793814433
125,1000,200,t,0.6,0.521,0.521,0.5875350140056023
126,1000,200,t,0.65,0.479,0.479,0.5850340136054422
127,1000,200,t,0.7,0.521,0.521,0.5875350140056023
128,1000,200,t,0.75,0.521,0.521,0.5875350140056023
129,1000,200,t,0.8,0.735,0.735,0.625
130,1000,200,t,0.85,0.521,0.521,0.5875350140056023
131,1000,200,t,0.9,0.521,0.521,0.5875350140056023
132,1000,200,t,0.95,0.765,0.765,0.8788659793814433
133,1000,200,e,0.05,0.765,0.765,0.8788659793814433
134,1000,200,e,0.1,0.765,0.765,0.8788659793814433
135,1000,200,e,0.15,0.765,0.765,0.8788659793814433
136,1000,200,e,0.2,0.765,0.765,0.8788659793814433
137,1000,200,e,0.25,0.551,0.551,0.7635642552435122
138,1000,200,e,0.3,0.479,0.479,0.5850340136054422
139,1000,200,e,0.35,0.479,0.479,0.5850340136054422
140,1000,200,e,0.4,0.551,0.551,0.7635642552435122
141,1000,200,e,0.45,0.521,0.521,0.5875350140056023
142,1000,200,e,0.5,0.521,0.521,0.5875350140056023
143,1000,200,e,0.55,0.735,0.735,0.625
144,1000,200,e,0.6,0.521,0.521,0.5875350140056023
145,1000,200,e,0.65,0.365,0.365,0.8206214689265536
146,1000,200,e,0.7,0.735,0.735,0.625
147,1000,200,e,0.75,0.735,0.735,0.625
148,1000,200,e,0.8,0.563,0.5630000000000001,0.8409752547307132
149,1000,200,e,0.85,0.765,0.765,0.8788659793814433
150,1000,200,e,0.9,0.335,0.33499999999999996,0.5694444444444444
151,1000,200,e,0.95,0.301,0.301,0.5662778366914104
152,1000,200,g,0.05,0.551,0.551,0.7635642552435122
153,1000,200,g,0.1,0.479,0.479,0.5850340136054422
154,1000,200,g,0.15,0.735,0.735,0.625
155,1000,200,g,0.2,0.521,0.521,0.5875350140056023
156,1000,200,g,0.25,0.521,0.521,0.5875350140056023
157,1000,200,g,0.3,0.521,0.521,0.5875350140056023
158,1000,200,g,0.35,0.521,0.521,0.5875350140056023
159,1000,200,g,0.4,0.563,0.5630000000000001,0.8409752547307132
160,1000,200,g,0.45,0.563,0.5630000000000001,0.8409752547307132
161,1000,200,g,0.5,0.735,0.735,0.625
162,1000,200,g,0.55,0.521,0.521,0.5875350140056023
163,1000,200,g,0.6,0.735,0.735,0.625
164,1000,200,g,0.65,0.533,0.533,0.5890313390313391
165,1000,200,g,0.7,0.313,0.313,0.5671321160042965
166,1000,200,g,0.75,0.331,0.33099999999999996,0.8180087051142546
167,1000,200,g,0.8,0.765,0.765,0.8788659793814433
168,1000,200,g,0.85,0.423,0.423,0.3333333333333333
169,1000,200,g,0.9,0.537,0.537,0.589541547277937
170,1000,200,g,0.95,0.353,0.353,0.8196767001114827
171,2000,50,t,0.05,1.0,1.0,1.0
172,2000,50,t,0.1,1.0,1.0,1.0
173,2000,50,t,0.15,1.0,1.0,1.0
