,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.7142857142857143,0.7196969696969697,0.6260330578512396,0.524
1,1000,50,t,0.1,0.7142857142857143,0.7196969696969697,0.6260330578512396,0.524
2,1000,50,t,0.15,0.7142857142857143,0.7196969696969697,0.6260330578512396,0.524
3,1000,50,t,0.2,0.7142857142857143,0.7196969696969697,0.6260330578512396,0.524
4,1000,50,t,0.25,0.7142857142857143,0.7196969696969697,0.6260330578512396,0.524
5,1000,50,t,0.3,0.7289915966386554,0.7279411764705882,0.6260330578512396,0.524
6,1000,50,t,0.35,0.7289915966386554,0.7279411764705882,0.6260330578512396,0.524
7,1000,50,t,0.4,0.7142857142857143,0.7196969696969697,0.6260330578512396,0.524
8,1000,50,t,0.45,0.7563025210084033,0.7803030303030303,0.8781512605042017,0.524
9,1000,50,t,0.5,0.7563025210084033,0.7803030303030303,0.8781512605042017,0.524
10,1000,50,t,0.55,0.7563025210084033,0.7803030303030303,0.8781512605042017,0.524
11,1000,50,t,0.6,0.7563025210084033,0.7803030303030303,0.8781512605042017,0.524
12,1000,50,t,0.65,0.4852941176470588,0.5082442067736185,0.585195530726257,0.524
13,1000,50,t,0.7,0.4852941176470588,0.5082442067736185,0.585195530726257,0.524
14,1000,50,t,0.75,0.4852941176470588,0.5082442067736185,0.585195530726257,0.524
15,1000,50,t,0.8,0.7289915966386554,0.7279411764705882,0.6260330578512396,0.524
16,1000,50,t,0.85,0.7142857142857143,0.7196969696969697,0.6260330578512396,0.524
17,1000,50,t,0.9,0.7563025210084033,0.7803030303030303,0.8781512605042017,0.524
18,1000,50,t,0.95,0.7563025210084033,0.7803030303030303,0.8781512605042017,0.524
19,1000,50,e,0.05,0.712,0.712,0.625,0.0
20,1000,50,e,0.1,0.712,0.712,0.625,0.0
21,1000,50,e,0.15,0.712,0.712,0.625,0.0
22,1000,50,e,0.2,0.712,0.712,0.625,0.0
23,1000,50,e,0.25,0.712,0.712,0.625,0.0
24,1000,50,e,0.3,0.723,0.723,0.625,0.0
25,1000,50,e,0.35,0.788,0.788,0.8852813852813852,0.0
26,1000,50,e,0.4,0.788,0.788,0.8852813852813852,0.0
27,1000,50,e,0.45,0.788,0.788,0.8852813852813852,0.0
28,1000,50,e,0.5,0.511,0.511,0.5877808988764045,0.0
29,1000,50,e,0.55,0.723,0.723,0.625,0.0
30,1000,50,e,0.6,0.788,0.788,0.8852813852813852,0.0
31,1000,50,e,0.65,0.788,0.788,0.8852813852813852,0.0
32,1000,50,e,0.7,0.788,0.788,0.8852813852813852,0.0
33,1000,50,e,0.75,0.723,0.723,0.625,0.0
34,1000,50,e,0.8,0.42,0.42000000000000004,0.3333333333333333,0.0
35,1000,50,e,0.85,0.788,0.788,0.8852813852813852,0.0
36,1000,50,e,0.9,0.458,0.458,0.5877808988764045,0.0
37,1000,50,e,0.95,0.534,0.534,0.8372905027932961,0.0
38,1000,50,g,0.05,0.722,0.722,0.625,0.0
39,1000,50,g,0.1,0.788,0.788,0.8852813852813852,0.0
40,1000,50,g,0.15,0.788,0.788,0.8852813852813852,0.0
41,1000,50,g,0.2,0.51,0.51,0.5877808988764045,0.0
42,1000,50,g,0.25,0.51,0.51,0.5877808988764045,0.0
43,1000,50,g,0.3,0.712,0.712,0.625,0.0
44,1000,50,g,0.35,0.788,0.788,0.8852813852813852,0.0
45,1000,50,g,0.4,0.788,0.788,0.8852813852813852,0.0
46,1000,50,g,0.45,0.788,0.788,0.8852813852813852,0.0
47,1000,50,g,0.5,0.712,0.712,0.625,0.0
48,1000,50,g,0.55,0.788,0.788,0.8852813852813852,0.0
49,1000,50,g,0.6,0.458,0.458,0.5877808988764045,0.0
50,1000,50,g,0.65,0.67,0.67,0.625,0.0
51,1000,50,g,0.7,0.42,0.42000000000000004,0.3333333333333333,0.0
52,1000,50,g,0.75,0.597,0.597,0.8457120980091883,0.0
53,1000,50,g,0.8,0.392,0.392,0.3333333333333333,0.0
54,1000,50,g,0.85,0.788,0.788,0.8852813852813852,0.0
55,1000,50,g,0.9,0.458,0.458,0.5877808988764045,0.0
56,1000,50,g,0.95,0.586,0.5860000000000001,0.6070205479452055,0.0
57,1000,100,t,0.05,1.0,1.0,1.0,0.492
58,1000,100,t,0.1,1.0,1.0,1.0,0.492
59,1000,100,t,0.15,1.0,1.0,1.0,0.492
60,1000,100,t,0.2,1.0,1.0,1.0,0.492
61,1000,100,t,0.25,1.0,1.0,1.0,0.492
62,1000,100,t,0.3,1.0,1.0,1.0,0.492
63,1000,100,t,0.35,1.0,1.0,1.0,0.492
64,1000,100,t,0.4,1.0,1.0,1.0,0.492
65,1000,100,t,0.45,1.0,1.0,1.0,0.492
66,1000,100,t,0.5,1.0,1.0,1.0,0.492
67,1000,100,t,0.55,1.0,1.0,1.0,0.492
68,1000,100,t,0.6,1.0,1.0,1.0,0.492
69,1000,100,t,0.65,1.0,1.0,1.0,0.492
70,1000,100,t,0.7,1.0,1.0,1.0,0.492
71,1000,100,t,0.75,1.0,1.0,1.0,0.492
72,1000,100,t,0.8,1.0,1.0,1.0,0.492
73,1000,100,t,0.85,1.0,1.0,1.0,0.492
74,1000,100,t,0.9,1.0,1.0,1.0,0.492
