,data size,granules,accuracy,recall,precision
0,1000,none,1.0,1.0,1.0
1,1000,50,1.0,1.0,1.0
2,1000,100,1.0,1.0,1.0
3,1000,200,1.0,1.0,1.0
4,2000,none,1.0,1.0,1.0
5,2000,50,1.0,1.0,1.0
6,2000,100,1.0,1.0,1.0
7,2000,200,1.0,1.0,1.0
8,5000,none,1.0,1.0,1.0
9,5000,50,1.0,1.0,1.0
10,5000,100,1.0,1.0,1.0
11,5000,200,1.0,1.0,1.0
12,10000,none,1.0,1.0,1.0
13,10000,50,1.0,1.0,1.0
14,10000,100,1.0,1.0,1.0
15,10000,200,1.0,1.0,1.0
16,20000,none,1.0,1.0,1.0
17,20000,50,1.0,1.0,1.0
18,20000,100,1.0,1.0,1.0
19,20000,200,1.0,1.0,1.0
20,30000,none,1.0,1.0,1.0
21,30000,50,1.0,1.0,1.0
22,30000,100,1.0,1.0,1.0
23,30000,200,1.0,1.0,1.0
24,40000,none,1.0,1.0,1.0
25,40000,50,1.0,1.0,1.0
26,40000,100,1.0,1.0,1.0
27,40000,200,1.0,1.0,1.0
28,50000,none,1.0,1.0,1.0
29,50000,50,1.0,1.0,1.0
30,50000,100,1.0,1.0,1.0
31,50000,200,1.0,1.0,1.0
