,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
1,1000,50,t,0.1,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
2,1000,50,t,0.15,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
3,1000,50,t,0.2,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
4,1000,50,t,0.25,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
5,1000,50,t,0.3,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
6,1000,50,t,0.35,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
7,1000,50,t,0.4,0.695364238410596,0.701737263322272,0.7251633986928104,0.547
8,1000,50,t,0.45,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
9,1000,50,t,0.5,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
10,1000,50,t,0.55,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
11,1000,50,t,0.6,0.7152317880794702,0.7144153816123364,0.7148767605633803,0.547
12,1000,50,t,0.65,0.8211920529801324,0.827659574468085,0.8645484949832776,0.547
13,1000,50,t,0.7,0.7814569536423841,0.7782451688463791,0.7884942319368549,0.547
14,1000,50,t,0.75,0.8388520971302428,0.8325688073394495,0.8814935064935066,0.547
15,1000,50,t,0.8,0.8388520971302428,0.8325688073394495,0.8814935064935066,0.547
16,1000,50,t,0.85,0.8388520971302428,0.8325688073394495,0.8814935064935066,0.547
17,1000,50,t,0.9,0.8388520971302428,0.8325688073394495,0.8814935064935066,0.547
18,1000,50,t,0.95,0.8388520971302428,0.8325688073394495,0.8814935064935066,0.547
19,1000,50,e,0.05,0.758,0.758,0.7589321557607387,0.0
20,1000,50,e,0.1,0.758,0.758,0.7589321557607387,0.0
21,1000,50,e,0.15,0.758,0.758,0.7589321557607387,0.0
22,1000,50,e,0.2,0.758,0.758,0.7589321557607387,0.0
23,1000,50,e,0.25,0.758,0.758,0.7589321557607387,0.0
24,1000,50,e,0.3,0.758,0.758,0.7589321557607387,0.0
25,1000,50,e,0.35,0.758,0.758,0.7589321557607387,0.0
26,1000,50,e,0.4,0.758,0.758,0.7589321557607387,0.0
27,1000,50,e,0.45,0.758,0.758,0.7589321557607387,0.0
28,1000,50,e,0.5,0.809,0.8089999999999999,0.8173279548470048,0.0
29,1000,50,e,0.55,0.839,0.839,0.87821482602118,0.0
30,1000,50,e,0.6,0.839,0.839,0.87821482602118,0.0
31,1000,50,e,0.65,0.839,0.839,0.87821482602118,0.0
32,1000,50,e,0.7,0.733,0.7330000000000001,0.7358538313594494,0.0
33,1000,50,e,0.75,0.667,0.667,0.6793084491859182,0.0
34,1000,50,e,0.8,0.879,0.879,0.9025764895330113,0.0
35,1000,50,e,0.85,0.856,0.856,0.8881987577639752,0.0
36,1000,50,e,0.9,0.754,0.754,0.7600072064989518,0.0
37,1000,50,e,0.95,0.668,0.668,0.8004807692307692,0.0
38,1000,50,g,0.05,0.764,0.764,0.8396739130434783,0.0
39,1000,50,g,0.1,0.758,0.758,0.7590611143242723,0.0
40,1000,50,g,0.15,0.758,0.758,0.7590611143242723,0.0
41,1000,50,g,0.2,0.856,0.856,0.8881987577639752,0.0
42,1000,50,g,0.25,0.84,0.8400000000000001,0.8787878787878788,0.0
43,1000,50,g,0.3,0.785,0.785,0.7981483418767654,0.0
44,1000,50,g,0.35,0.84,0.8400000000000001,0.8787878787878788,0.0
45,1000,50,g,0.4,0.84,0.8400000000000001,0.8787878787878788,0.0
46,1000,50,g,0.45,0.84,0.8400000000000001,0.8787878787878788,0.0
47,1000,50,g,0.5,0.84,0.8400000000000001,0.8787878787878788,0.0
48,1000,50,g,0.55,0.74,0.74,0.8289473684210527,0.0
49,1000,50,g,0.6,0.667,0.667,0.6793084491859182,0.0
50,1000,50,g,0.65,0.813,0.813,0.8132819537583825,0.0
51,1000,50,g,0.7,0.813,0.813,0.8132819537583825,0.0
52,1000,50,g,0.75,0.878,0.878,0.9019292604501608,0.0
53,1000,50,g,0.8,0.813,0.813,0.8132819537583825,0.0
54,1000,50,g,0.85,0.754,0.754,0.7596882105641982,0.0
55,1000,50,g,0.9,0.754,0.754,0.7596882105641982,0.0
56,1000,50,g,0.95,0.746,0.746,0.7790178571428572,0.0
57,1000,100,t,0.05,0.7193347193347194,0.7206233766233766,0.7207839467664795,0.519
58,1000,100,t,0.1,0.7193347193347194,0.7206233766233766,0.7207839467664795,0.519
59,1000,100,t,0.15,0.8066528066528067,0.8061038961038961,0.8064541293946328,0.519
60,1000,100,t,0.2,0.7692307692307693,0.7701038961038962,0.769823559937727,0.519
61,1000,100,t,0.25,0.7692307692307693,0.7701038961038962,0.769823559937727,0.519
62,1000,100,t,0.3,0.738045738045738,0.7401038961038962,0.7414838035527691,0.519
63,1000,100,t,0.35,0.738045738045738,0.7401038961038962,0.7414838035527691,0.519
64,1000,100,t,0.4,0.738045738045738,0.7401038961038962,0.7414838035527691,0.519
65,1000,100,t,0.45,0.738045738045738,0.7401038961038962,0.7414838035527691,0.519
66,1000,100,t,0.5,0.738045738045738,0.7401038961038962,0.7414838035527691,0.519
67,1000,100,t,0.55,0.7089397089397089,0.7098008658008658,0.7096266306792622,0.519
68,1000,100,t,0.6,0.7172557172557172,0.728,0.8147138964577656,0.519
69,1000,100,t,0.65,0.8066528066528067,0.8061038961038961,0.8064541293946328,0.519
70,1000,100,t,0.7,0.7817047817047817,0.7727272727272727,0.852112676056338,0.519
71,1000,100,t,0.75,0.7817047817047817,0.7727272727272727,0.852112676056338,0.519
72,1000,100,t,0.8,0.7817047817047817,0.7727272727272727,0.852112676056338,0.519
73,1000,100,t,0.85,0.7172557172557172,0.728,0.8147138964577656,0.519
74,1000,100,t,0.9,0.738045738045738,0.7401038961038962,0.7414838035527691,0.519
75,1000,100,t,0.95,0.7130977130977131,0.7087012987012986,0.721008911871493,0.519
76,1000,100,e,0.05,0.757,0.757,0.7577516036763201,0.0
77,1000,100,e,0.1,0.757,0.757,0.7577516036763201,0.0
78,1000,100,e,0.15,0.778,0.778,0.7805858794651508,0.0
79,1000,100,e,0.2,0.811,0.8109999999999999,0.8112801521369233,0.0
80,1000,100,e,0.25,0.778,0.778,0.7805858794651508,0.0
81,1000,100,e,0.3,0.778,0.778,0.7805858794651508,0.0
82,1000,100,e,0.35,0.778,0.778,0.7805858794651508,0.0
83,1000,100,e,0.4,0.778,0.778,0.7805858794651508,0.0
84,1000,100,e,0.45,0.831,0.831,0.8736920777279522,0.0
85,1000,100,e,0.5,0.777,0.777,0.8457814661134163,0.0
86,1000,100,e,0.55,0.777,0.777,0.8457814661134163,0.0
87,1000,100,e,0.6,0.742,0.742,0.757319791081849,0.0
88,1000,100,e,0.65,0.74,0.74,0.8289473684210527,0.0
89,1000,100,e,0.7,0.74,0.74,0.8289473684210527,0.0
90,1000,100,e,0.75,0.811,0.8109999999999999,0.8112801521369233,0.0
91,1000,100,e,0.8,0.771,0.771,0.7716791979949875,0.0
92,1000,100,e,0.85,0.75,0.75,0.7521340627067499,0.0
93,1000,100,e,0.9,0.746,0.746,0.8315649867374005,0.0
94,1000,100,e,0.95,0.729,0.7290000000000001,0.7331871077059684,0.0
95,1000,100,g,0.05,0.799,0.7989999999999999,0.8048047007205217,0.0
96,1000,100,g,0.1,0.778,0.778,0.7805858794651508,0.0
97,1000,100,g,0.15,0.747,0.747,0.7472858624570002,0.0
98,1000,100,g,0.2,0.741,0.741,0.8293807641633728,0.0
99,1000,100,g,0.25,0.777,0.777,0.8457814661134163,0.0
100,1000,100,g,0.3,0.741,0.741,0.8293807641633728,0.0
101,1000,100,g,0.35,0.742,0.742,0.7578593835242771,0.0
102,1000,100,g,0.4,0.778,0.778,0.7805858794651508,0.0
103,1000,100,g,0.45,0.741,0.741,0.8293807641633728,0.0
104,1000,100,g,0.5,0.741,0.741,0.8293807641633728,0.0
105,1000,100,g,0.55,0.741,0.741,0.8293807641633728,0.0
106,1000,100,g,0.6,0.811,0.8109999999999999,0.8112801521369233,0.0
107,1000,100,g,0.65,0.811,0.8109999999999999,0.8112801521369233,0.0
108,1000,100,g,0.7,0.811,0.8109999999999999,0.8112801521369233,0.0
109,1000,100,g,0.75,0.741,0.741,0.8293807641633728,0.0
110,1000,100,g,0.8,0.811,0.8109999999999999,0.8112801521369233,0.0
111,1000,100,g,0.85,0.701,0.701,0.7144,0.0
112,1000,100,g,0.9,0.811,0.8109999999999999,0.8112801521369233,0.0
113,1000,100,g,0.95,0.811,0.8109999999999999,0.8112801521369233,0.0
114,1000,200,t,0.05,0.723404255319149,0.722343642405916,0.7260730593607306,0.483
115,1000,200,t,0.1,0.723404255319149,0.722343642405916,0.7260730593607306,0.483
116,1000,200,t,0.15,0.7562862669245648,0.7565492051136193,0.7565876152832675,0.483
117,1000,200,t,0.2,0.7350096711798839,0.7341546660279632,0.7367632367632369,0.483
118,1000,200,t,0.25,0.723404255319149,0.722343642405916,0.7260730593607306,0.483
119,1000,200,t,0.3,0.7195357833655706,0.7175309122481364,0.7305123730964467,0.483
120,1000,200,t,0.35,0.8336557059961315,0.8307086614173229,0.8767908309455588,0.483
121,1000,200,t,0.4,0.7601547388781431,0.7588694949253016,0.7653033045932927,0.483
122,1000,200,t,0.45,0.7949709864603481,0.7959192838537769,0.7987366257631627,0.483
123,1000,200,t,0.5,0.7079303675048356,0.7103679530552978,0.7272036474164134,0.483
124,1000,200,t,0.55,0.7137330754352031,0.7132421184994462,0.7140495867768595,0.483
125,1000,200,t,0.6,0.7137330754352031,0.7132421184994462,0.7140495867768595,0.483
126,1000,200,t,0.65,0.7949709864603481,0.7959192838537769,0.7987366257631627,0.483
127,1000,200,t,0.7,0.816247582205029,0.816831831382294,0.8177355431453792,0.483
128,1000,200,t,0.75,0.816247582205029,0.816831831382294,0.8177355431453792,0.483
129,1000,200,t,0.8,0.816247582205029,0.816831831382294,0.8177355431453792,0.483
130,1000,200,t,0.85,0.816247582205029,0.816831831382294,0.8177355431453792,0.483
131,1000,200,t,0.9,0.7678916827852998,0.7676192329570971,0.7679802734140784,0.483
132,1000,200,t,0.95,0.7678916827852998,0.7676192329570971,0.7679802734140784,0.483
133,1000,200,e,0.05,0.763,0.7629999999999999,0.7675211067032854,0.0
134,1000,200,e,0.1,0.763,0.7629999999999999,0.7675211067032854,0.0
135,1000,200,e,0.15,0.805,0.8049999999999999,0.8055389707443932,0.0
136,1000,200,e,0.2,0.763,0.7629999999999999,0.7675211067032854,0.0
137,1000,200,e,0.25,0.849,0.849,0.8840245775729647,0.0
138,1000,200,e,0.3,0.849,0.849,0.8840245775729647,0.0
139,1000,200,e,0.35,0.84,0.8400000000000001,0.844319139283168,0.0
140,1000,200,e,0.4,0.813,0.813,0.863901018922853,0.0
141,1000,200,e,0.45,0.757,0.757,0.7577516036763201,0.0
142,1000,200,e,0.5,0.84,0.8400000000000001,0.844319139283168,0.0
143,1000,200,e,0.55,0.862,0.862,0.8636816640144026,0.0
144,1000,200,e,0.6,0.816,0.8160000000000001,0.8161821209016393,0.0
145,1000,200,e,0.65,0.787,0.7869999999999999,0.8506311360448808,0.0
146,1000,200,e,0.7,0.785,0.7849999999999999,0.7938980575916447,0.0
147,1000,200,e,0.75,0.742,0.742,0.7557663690476191,0.0
148,1000,200,e,0.8,0.816,0.8160000000000001,0.8161821209016393,0.0
149,1000,200,e,0.85,0.755,0.755,0.7574727684683702,0.0
150,1000,200,e,0.9,0.726,0.726,0.7267109655880842,0.0
151,1000,200,e,0.95,0.779,0.779,0.7796992481203007,0.0
152,1000,200,g,0.05,0.804,0.804,0.8045896856313823,0.0
153,1000,200,g,0.1,0.838,0.8380000000000001,0.8422937325815023,0.0
154,1000,200,g,0.15,0.756,0.756,0.7566941008486949,0.0
155,1000,200,g,0.2,0.756,0.756,0.7566941008486949,0.0
156,1000,200,g,0.25,0.861,0.861,0.8625793958483152,0.0
157,1000,200,g,0.3,0.861,0.861,0.8625793958483152,0.0
158,1000,200,g,0.35,0.816,0.8160000000000001,0.8161821209016393,0.0
159,1000,200,g,0.4,0.741,0.741,0.7712607660133897,0.0
160,1000,200,g,0.45,0.763,0.7629999999999999,0.7675211067032854,0.0
161,1000,200,g,0.5,0.734,0.734,0.7352193772516726,0.0
162,1000,200,g,0.55,0.787,0.7869999999999999,0.8506311360448808,0.0
163,1000,200,g,0.6,0.813,0.813,0.863901018922853,0.0
164,1000,200,g,0.65,0.849,0.849,0.8840245775729647,0.0
165,1000,200,g,0.7,0.794,0.794,0.8541076487252124,0.0
166,1000,200,g,0.75,0.794,0.794,0.8541076487252124,0.0
167,1000,200,g,0.8,0.816,0.8160000000000001,0.8161821209016393,0.0
168,1000,200,g,0.85,0.794,0.794,0.8541076487252124,0.0
169,1000,200,g,0.9,0.727,0.727,0.7366565331798716,0.0
170,1000,200,g,0.95,0.787,0.7869999999999999,0.8506311360448808,0.0
171,2000,50,t,0.05,0.7685393258426966,0.768801510989011,0.770275622537271,0.555
172,2000,50,t,0.1,0.8303370786516854,0.8291855203619909,0.8739565943238732,0.555
173,2000,50,t,0.15,0.8303370786516854,0.8291855203619909,0.8739565943238732,0.555
174,2000,50,t,0.2,0.7685393258426966,0.768801510989011,0.770275622537271,0.555
175,2000,50,t,0.25,0.7685393258426966,0.768801510989011,0.770275622537271,0.555
176,2000,50,t,0.3,0.8303370786516854,0.8291855203619909,0.8739565943238732,0.555
177,2000,50,t,0.35,0.744943820224719,0.745364010989011,0.7490197786878104,0.555
178,2000,50,t,0.4,0.7842696629213484,0.784426510989011,0.7849330176461065,0.555
179,2000,50,t,0.45,0.8280898876404494,0.8279532967032968,0.8286021505376344,0.555
