,data size,granules,accuracy,recall,precision
0,1000,none,0.79,0.79,0.7901160464185675
1,1000,50,0.753,0.753,0.7539762848389209
2,1000,100,0.823,0.823,0.82518655439173
3,1000,200,0.779,0.7789999999999999,0.7817054996183345
4,2000,none,0.7595,0.7595000000000001,0.837609723160027
5,2000,50,0.813,0.813,0.8148183910265695
6,2000,100,0.8035,0.8035000000000001,0.8260527421196758
7,2000,200,0.786,0.786,0.7861384910296584
8,5000,none,0.815,0.815,0.8202136416622711
9,5000,50,0.854,0.854,0.8540654879526517
10,5000,100,0.8806,0.8806,0.9036164029706167
11,5000,200,0.7782,0.7782,0.8463563313937379
12,10000,none,0.8393,0.8393,0.8422345793819008
13,10000,50,0.8815,0.8815,0.9042037186742118
14,10000,100,0.7702,0.7702,0.7768337789175526
15,10000,200,0.8324,0.8324,0.8326461048942451
16,20000,none,0.7852,0.7852,0.8497481813094572
17,20000,50,0.7646,0.7646,0.771551724137931
18,20000,100,0.7849,0.7848999999999999,0.84960145434205
19,20000,200,0.7845,0.7845,0.8494060097833682
20,30000,none,0.7242333333333333,0.7242333333333333,0.822261848493963
21,30000,50,0.7763333333333333,0.7763333333333333,0.7782039768738329
22,30000,100,0.8023,0.8023,0.8054572399720443
23,30000,200,0.7406333333333334,0.7406333333333333,0.7512039147992968
24,40000,none,0.795725,0.795725,0.8549749742643143
25,40000,50,0.789175,0.789175,0.8009806037581401
26,40000,100,0.802275,0.802275,0.8039325944219418
27,40000,200,0.77515,0.77515,0.8448989446092294
28,50000,none,0.87958,0.87958,0.8805085779131963
29,50000,50,0.77818,0.77818,0.7795734949452654
30,50000,100,0.75934,0.75934,0.8375367915102746
31,50000,200,0.78182,0.78182,0.7822599502295282
