,data size,granules number,relation type,ksi,accuracy
0,1000,50,t,0.05,0.555
1,1000,50,t,0.1,0.555
2,1000,50,t,0.15,0.555
3,1000,50,t,0.2,0.555
4,1000,50,t,0.25,0.555
5,1000,50,t,0.3,0.555
6,1000,50,t,0.35,0.555
7,1000,50,t,0.4,0.555
8,1000,50,t,0.45,0.652
9,1000,50,t,0.5,0.652
10,1000,50,t,0.55,0.558
11,1000,50,t,0.6,0.487
12,1000,50,t,0.65,0.63
13,1000,50,t,0.7,0.63
14,1000,50,t,0.75,0.63
15,1000,50,t,0.8,0.63
16,1000,50,t,0.85,0.677
17,1000,50,t,0.9,0.677
18,1000,50,t,0.95,0.487
19,1000,50,e,0.05,0.555
20,1000,50,e,0.1,0.555
21,1000,50,e,0.15,0.555
22,1000,50,e,0.2,0.555
23,1000,50,e,0.25,0.555
24,1000,50,e,0.3,0.555
25,1000,50,e,0.35,0.555
26,1000,50,e,0.4,0.652
27,1000,50,e,0.45,0.487
28,1000,50,e,0.5,0.63
29,1000,50,e,0.55,0.63
30,1000,50,e,0.6,0.677
31,1000,50,e,0.65,0.487
32,1000,50,e,0.7,0.701
33,1000,50,e,0.75,0.598
34,1000,50,e,0.8,0.487
35,1000,50,e,0.85,0.598
36,1000,50,e,0.9,0.641
37,1000,50,e,0.95,0.607
38,1000,50,g,0.05,0.581
39,1000,50,g,0.1,0.652
40,1000,50,g,0.15,0.558
41,1000,50,g,0.2,0.63
42,1000,50,g,0.25,0.63
43,1000,50,g,0.3,0.677
44,1000,50,g,0.35,0.487
45,1000,50,g,0.4,0.57
46,1000,50,g,0.45,0.701
47,1000,50,g,0.5,0.701
48,1000,50,g,0.55,0.701
49,1000,50,g,0.6,0.598
50,1000,50,g,0.65,0.701
51,1000,50,g,0.7,0.701
52,1000,50,g,0.75,0.487
53,1000,50,g,0.8,0.487
54,1000,50,g,0.85,0.598
55,1000,50,g,0.9,0.641
56,1000,50,g,0.95,0.641
57,1000,100,t,0.05,0.65
58,1000,100,t,0.1,0.65
59,1000,100,t,0.15,0.738
60,1000,100,t,0.2,0.65
61,1000,100,t,0.25,0.738
62,1000,100,t,0.3,0.65
63,1000,100,t,0.35,0.65
64,1000,100,t,0.4,0.65
65,1000,100,t,0.45,0.65
66,1000,100,t,0.5,0.765
67,1000,100,t,0.55,0.65
68,1000,100,t,0.6,0.65
69,1000,100,t,0.65,0.65
70,1000,100,t,0.7,0.765
71,1000,100,t,0.75,1.0
72,1000,100,t,0.8,0.745
73,1000,100,t,0.85,0.745
74,1000,100,t,0.9,0.745
75,1000,100,t,0.95,0.745
76,1000,100,e,0.05,0.65
77,1000,100,e,0.1,0.65
78,1000,100,e,0.15,0.738
79,1000,100,e,0.2,0.65
80,1000,100,e,0.25,0.65
81,1000,100,e,0.3,0.65
82,1000,100,e,0.35,0.65
83,1000,100,e,0.4,0.765
84,1000,100,e,0.45,0.65
85,1000,100,e,0.5,1.0
86,1000,100,e,0.55,0.745
87,1000,100,e,0.6,0.745
88,1000,100,e,0.65,0.879
89,1000,100,e,0.7,0.879
90,1000,100,e,0.75,0.724
91,1000,100,e,0.8,0.902
92,1000,100,e,0.85,0.879
93,1000,100,e,0.9,0.902
94,1000,100,e,0.95,0.879
95,1000,100,g,0.05,0.65
96,1000,100,g,0.1,0.65
97,1000,100,g,0.15,0.745
98,1000,100,g,0.2,1.0
99,1000,100,g,0.25,1.0
100,1000,100,g,0.3,0.745
101,1000,100,g,0.35,0.745
102,1000,100,g,0.4,0.879
103,1000,100,g,0.45,0.879
104,1000,100,g,0.5,0.879
105,1000,100,g,0.55,0.879
106,1000,100,g,0.6,0.745
107,1000,100,g,0.65,0.902
108,1000,100,g,0.7,0.902
109,1000,100,g,0.75,0.902
110,1000,100,g,0.8,0.868
111,1000,100,g,0.85,0.868
112,1000,100,g,0.9,0.902
113,1000,100,g,0.95,0.902
114,1000,200,t,0.05,1.0
115,1000,200,t,0.1,1.0
116,1000,200,t,0.15,1.0
117,1000,200,t,0.2,1.0
118,1000,200,t,0.25,1.0
119,1000,200,t,0.3,1.0
120,1000,200,t,0.35,1.0
121,1000,200,t,0.4,1.0
122,1000,200,t,0.45,1.0
123,1000,200,t,0.5,1.0
124,1000,200,t,0.55,1.0
125,1000,200,t,0.6,1.0
126,1000,200,t,0.65,1.0
127,1000,200,t,0.7,1.0
128,1000,200,t,0.75,1.0
129,1000,200,t,0.8,1.0
130,1000,200,t,0.85,1.0
131,1000,200,t,0.9,1.0
132,1000,200,t,0.95,1.0
133,1000,200,e,0.05,1.0
134,1000,200,e,0.1,1.0
135,1000,200,e,0.15,1.0
136,1000,200,e,0.2,1.0
137,1000,200,e,0.25,1.0
138,1000,200,e,0.3,1.0
139,1000,200,e,0.35,1.0
140,1000,200,e,0.4,1.0
141,1000,200,e,0.45,1.0
142,1000,200,e,0.5,1.0
143,1000,200,e,0.55,1.0
144,1000,200,e,0.6,1.0
145,1000,200,e,0.65,1.0
146,1000,200,e,0.7,1.0
147,1000,200,e,0.75,1.0
148,1000,200,e,0.8,1.0
149,1000,200,e,0.85,1.0
150,1000,200,e,0.9,0.87
151,1000,200,e,0.95,1.0
152,1000,200,g,0.05,1.0
153,1000,200,g,0.1,1.0
154,1000,200,g,0.15,1.0
155,1000,200,g,0.2,1.0
156,1000,200,g,0.25,1.0
157,1000,200,g,0.3,1.0
158,1000,200,g,0.35,1.0
159,1000,200,g,0.4,1.0
160,1000,200,g,0.45,1.0
161,1000,200,g,0.5,1.0
162,1000,200,g,0.55,1.0
163,1000,200,g,0.6,1.0
164,1000,200,g,0.65,1.0
165,1000,200,g,0.7,1.0
166,1000,200,g,0.75,1.0
167,1000,200,g,0.8,1.0
168,1000,200,g,0.85,1.0
169,1000,200,g,0.9,1.0
170,1000,200,g,0.95,1.0
171,2000,50,t,0.05,0.6835
172,2000,50,t,0.1,0.6835
173,2000,50,t,0.15,0.6835
174,2000,50,t,0.2,0.6835
175,2000,50,t,0.25,0.6835
176,2000,50,t,0.3,0.6835
177,2000,50,t,0.35,0.6835
178,2000,50,t,0.4,0.6835
179,2000,50,t,0.45,0.6835
180,2000,50,t,0.5,0.6835
181,2000,50,t,0.55,0.6835
182,2000,50,t,0.6,0.6835
183,2000,50,t,0.65,0.6835
184,2000,50,t,0.7,0.6835
185,2000,50,t,0.75,0.6835
186,2000,50,t,0.8,0.6835
187,2000,50,t,0.85,0.5305
188,2000,50,t,0.9,0.5305
189,2000,50,t,0.95,0.6835
190,2000,50,e,0.05,0.6835
191,2000,50,e,0.1,0.6835
192,2000,50,e,0.15,0.6835
193,2000,50,e,0.2,0.6835
194,2000,50,e,0.25,0.6835
195,2000,50,e,0.3,0.6835
196,2000,50,e,0.35,0.6835
197,2000,50,e,0.4,0.6835
198,2000,50,e,0.45,0.6835
199,2000,50,e,0.5,0.6835
200,2000,50,e,0.55,0.6835
201,2000,50,e,0.6,0.5305
202,2000,50,e,0.65,0.6835
203,2000,50,e,0.7,0.6835
204,2000,50,e,0.75,0.6835
205,2000,50,e,0.8,0.6835
206,2000,50,e,0.85,0.5835
207,2000,50,e,0.9,0.6835
208,2000,50,e,0.95,0.8665
209,2000,50,g,0.05,0.6835
210,2000,50,g,0.1,0.6835
211,2000,50,g,0.15,0.6835
212,2000,50,g,0.2,0.6835
213,2000,50,g,0.25,0.6835
214,2000,50,g,0.3,0.6835
215,2000,50,g,0.35,0.5305
216,2000,50,g,0.4,0.6835
217,2000,50,g,0.45,0.6835
218,2000,50,g,0.5,0.6835
219,2000,50,g,0.55,0.6835
220,2000,50,g,0.6,0.6835
221,2000,50,g,0.65,0.6835
222,2000,50,g,0.7,0.6835
223,2000,50,g,0.75,0.6835
224,2000,50,g,0.8,0.5835
225,2000,50,g,0.85,0.6835
226,2000,50,g,0.9,0.6835
227,2000,50,g,0.95,0.6835
228,2000,100,t,0.05,1.0
229,2000,100,t,0.1,1.0
230,2000,100,t,0.15,1.0
231,2000,100,t,0.2,1.0
232,2000,100,t,0.25,1.0
233,2000,100,t,0.3,1.0
234,2000,100,t,0.35,1.0
235,2000,100,t,0.4,1.0
236,2000,100,t,0.45,1.0
237,2000,100,t,0.5,0.6315
238,2000,100,t,0.55,0.6315
239,2000,100,t,0.6,0.6315
240,2000,100,t,0.65,0.7315
241,2000,100,t,0.7,0.6315
242,2000,100,t,0.75,0.6315
243,2000,100,t,0.8,0.6315
244,2000,100,t,0.85,0.6315
245,2000,100,t,0.9,0.6315
246,2000,100,t,0.95,0.6315
247,2000,100,e,0.05,1.0
248,2000,100,e,0.1,1.0
249,2000,100,e,0.15,1.0
250,2000,100,e,0.2,1.0
251,2000,100,e,0.25,1.0
252,2000,100,e,0.3,1.0
253,2000,100,e,0.35,1.0
254,2000,100,e,0.4,0.6315
255,2000,100,e,0.45,0.6315
256,2000,100,e,0.5,0.6315
257,2000,100,e,0.55,0.6315
258,2000,100,e,0.6,0.6315
259,2000,100,e,0.65,0.6315
260,2000,100,e,0.7,0.6315
261,2000,100,e,0.75,0.5315
262,2000,100,e,0.8,0.6315
263,2000,100,e,0.85,0.6315
264,2000,100,e,0.9,1.0
265,2000,100,e,0.95,0.534
266,2000,100,g,0.05,1.0
267,2000,100,g,0.1,1.0
268,2000,100,g,0.15,1.0
269,2000,100,g,0.2,0.6315
270,2000,100,g,0.25,0.6315
271,2000,100,g,0.3,0.6315
272,2000,100,g,0.35,0.6315
273,2000,100,g,0.4,0.6315
274,2000,100,g,0.45,0.6315
275,2000,100,g,0.5,0.6315
276,2000,100,g,0.55,0.6315
277,2000,100,g,0.6,0.5315
278,2000,100,g,0.65,0.6315
279,2000,100,g,0.7,1.0
280,2000,100,g,0.75,1.0
281,2000,100,g,0.8,1.0
282,2000,100,g,0.85,0.634
283,2000,100,g,0.9,1.0
284,2000,100,g,0.95,0.7325
285,2000,200,t,0.05,1.0
286,2000,200,t,0.1,1.0
287,2000,200,t,0.15,1.0
288,2000,200,t,0.2,1.0
289,2000,200,t,0.25,1.0
290,2000,200,t,0.3,1.0
291,2000,200,t,0.35,0.8475
292,2000,200,t,0.4,0.9035
293,2000,200,t,0.45,0.9035
294,2000,200,t,0.5,0.9035
295,2000,200,t,0.55,0.9035
296,2000,200,t,0.6,0.9035
297,2000,200,t,0.65,0.9035
298,2000,200,t,0.7,0.9035
299,2000,200,t,0.75,0.9035
300,2000,200,t,0.8,0.9035
301,2000,200,t,0.85,0.8475
302,2000,200,t,0.9,0.9035
303,2000,200,t,0.95,0.9035
304,2000,200,e,0.05,1.0
305,2000,200,e,0.1,1.0
306,2000,200,e,0.15,1.0
307,2000,200,e,0.2,1.0
308,2000,200,e,0.25,1.0
309,2000,200,e,0.3,0.8475
310,2000,200,e,0.35,0.9035
311,2000,200,e,0.4,0.9035
312,2000,200,e,0.45,0.9035
313,2000,200,e,0.5,0.9035
314,2000,200,e,0.55,0.9035
315,2000,200,e,0.6,0.8475
316,2000,200,e,0.65,0.8475
317,2000,200,e,0.7,0.8475
318,2000,200,e,0.75,0.8475
319,2000,200,e,0.8,0.6865
320,2000,200,e,0.85,0.8475
321,2000,200,e,0.9,0.9015
322,2000,200,e,0.95,0.8475
323,2000,200,g,0.05,0.9035
324,2000,200,g,0.1,0.9035
325,2000,200,g,0.15,0.9035
326,2000,200,g,0.2,0.9035
327,2000,200,g,0.25,0.9035
328,2000,200,g,0.3,0.8475
329,2000,200,g,0.35,0.9035
330,2000,200,g,0.4,0.8475
331,2000,200,g,0.45,0.8475
332,2000,200,g,0.5,0.8475
333,2000,200,g,0.55,0.9015
334,2000,200,g,0.6,0.886
335,2000,200,g,0.65,0.886
336,2000,200,g,0.7,0.8475
337,2000,200,g,0.75,0.6865
338,2000,200,g,0.8,0.8475
339,2000,200,g,0.85,0.8475
340,2000,200,g,0.9,0.9015
341,2000,200,g,0.95,0.8475
342,5000,50,t,0.05,0.7562
343,5000,50,t,0.1,0.7562
344,5000,50,t,0.15,0.7562
345,5000,50,t,0.2,0.7562
346,5000,50,t,0.25,0.7562
347,5000,50,t,0.3,0.7562
348,5000,50,t,0.35,0.7562
349,5000,50,t,0.4,0.7562
350,5000,50,t,0.45,0.6302
351,5000,50,t,0.5,0.5302
352,5000,50,t,0.55,0.5302
353,5000,50,t,0.6,0.4712
354,5000,50,t,0.65,0.4712
355,5000,50,t,0.7,0.5302
356,5000,50,t,0.75,0.5302
357,5000,50,t,0.8,0.5302
358,5000,50,t,0.85,0.6302
359,5000,50,t,0.9,0.4712
360,5000,50,t,0.95,0.5938
361,5000,50,e,0.05,0.7562
362,5000,50,e,0.1,0.7562
363,5000,50,e,0.15,0.7562
364,5000,50,e,0.2,0.7562
365,5000,50,e,0.25,0.7562
366,5000,50,e,0.3,0.7562
367,5000,50,e,0.35,0.7562
368,5000,50,e,0.4,0.5302
369,5000,50,e,0.45,0.4712
370,5000,50,e,0.5,0.5302
371,5000,50,e,0.55,0.5302
372,5000,50,e,0.6,0.4712
373,5000,50,e,0.65,0.5302
374,5000,50,e,0.7,0.7146
375,5000,50,e,0.75,0.7146
376,5000,50,e,0.8,0.4956
377,5000,50,e,0.85,0.6214
378,5000,50,e,0.9,0.6748
379,5000,50,e,0.95,0.5302
380,5000,50,g,0.05,0.7562
381,5000,50,g,0.1,0.5302
382,5000,50,g,0.15,0.4712
383,5000,50,g,0.2,0.4712
384,5000,50,g,0.25,0.5302
385,5000,50,g,0.3,0.6302
386,5000,50,g,0.35,0.4712
387,5000,50,g,0.4,0.5302
388,5000,50,g,0.45,0.7146
389,5000,50,g,0.5,0.7146
390,5000,50,g,0.55,0.7146
391,5000,50,g,0.6,0.5134
392,5000,50,g,0.65,0.4956
393,5000,50,g,0.7,0.4956
394,5000,50,g,0.75,0.4956
395,5000,50,g,0.8,0.7528
396,5000,50,g,0.85,0.5562
397,5000,50,g,0.9,0.7146
