,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.435,0.47291666666666665,0.36388611696295475,0.0
1,1000,50,t,0.1,0.435,0.47291666666666665,0.36388611696295475,0.0
2,1000,50,t,0.15,0.435,0.47291666666666665,0.36388611696295475,0.0
3,1000,50,t,0.2,0.435,0.47291666666666665,0.36388611696295475,0.0
4,1000,50,t,0.25,0.493,0.4970833333333333,0.36860073957211664,0.0
5,1000,50,t,0.3,0.493,0.4970833333333333,0.36860073957211664,0.0
6,1000,50,t,0.35,0.493,0.4970833333333333,0.36860073957211664,0.0
7,1000,50,t,0.4,0.493,0.4970833333333333,0.36860073957211664,0.0
8,1000,50,t,0.45,0.493,0.4970833333333333,0.36860073957211664,0.0
9,1000,50,t,0.5,0.493,0.4970833333333333,0.36860073957211664,0.0
10,1000,50,t,0.55,0.493,0.4970833333333333,0.36860073957211664,0.0
11,1000,50,t,0.6,0.493,0.4970833333333333,0.38106033488446084,0.0
12,1000,50,t,0.65,0.531,0.5129166666666666,0.37343935272372186,0.0
13,1000,50,t,0.7,0.531,0.5129166666666666,0.37343935272372186,0.0
14,1000,50,t,0.75,0.405,0.4604166666666667,0.35390946502057613,0.0
15,1000,50,t,0.8,0.565,0.81875,0.5433951278895902,0.0
16,1000,50,t,0.85,0.565,0.81875,0.5433951278895902,0.0
17,1000,50,t,0.9,0.565,0.81875,0.5433951278895902,0.0
18,1000,50,t,0.95,0.565,0.81875,0.5433951278895902,0.0
19,1000,50,e,0.05,0.435,0.47291666666666665,0.36388611696295475,0.0
20,1000,50,e,0.1,0.435,0.47291666666666665,0.36388611696295475,0.0
21,1000,50,e,0.15,0.435,0.47291666666666665,0.36388611696295475,0.0
22,1000,50,e,0.2,0.435,0.47291666666666665,0.36388611696295475,0.0
23,1000,50,e,0.25,0.493,0.4970833333333333,0.36860073957211664,0.0
24,1000,50,e,0.3,0.493,0.4970833333333333,0.36860073957211664,0.0
25,1000,50,e,0.35,0.493,0.4970833333333333,0.36860073957211664,0.0
26,1000,50,e,0.4,0.493,0.4970833333333333,0.36860073957211664,0.0
27,1000,50,e,0.45,0.493,0.4970833333333333,0.38106033488446084,0.0
28,1000,50,e,0.5,0.531,0.5129166666666666,0.37343935272372186,0.0
29,1000,50,e,0.55,0.565,0.81875,0.5433951278895902,0.0
30,1000,50,e,0.6,0.565,0.81875,0.5433951278895902,0.0
31,1000,50,e,0.65,0.405,0.4604166666666667,0.35390946502057613,0.0
32,1000,50,e,0.7,0.493,0.4970833333333333,0.36860073957211664,0.0
33,1000,50,e,0.75,0.531,0.5129166666666666,0.37343935272372186,0.0
34,1000,50,e,0.8,0.477,0.49041666666666667,0.3516355528934145,0.0
35,1000,50,e,0.85,0.523,0.5095833333333334,0.3724791287995027,0.0
36,1000,50,e,0.9,0.459,0.48291666666666666,0.34301621883321226,0.0
37,1000,50,e,0.95,0.405,0.4604166666666667,0.35390946502057613,0.0
38,1000,50,g,0.05,0.493,0.4970833333333333,0.36860073957211664,0.0
39,1000,50,g,0.1,0.493,0.4970833333333333,0.36860073957211664,0.0
40,1000,50,g,0.15,0.466,0.48583333333333334,0.34749237802074945,0.0
41,1000,50,g,0.2,0.531,0.5129166666666666,0.37343935272372186,0.0
42,1000,50,g,0.25,0.405,0.4604166666666667,0.35390946502057613,0.0
43,1000,50,g,0.3,0.565,0.81875,0.5433951278895902,0.0
44,1000,50,g,0.35,0.565,0.81875,0.5433951278895902,0.0
45,1000,50,g,0.4,0.405,0.4604166666666667,0.35390946502057613,0.0
46,1000,50,g,0.45,0.405,0.4604166666666667,0.35390946502057613,0.0
47,1000,50,g,0.5,0.405,0.4604166666666667,0.35390946502057613,0.0
48,1000,50,g,0.55,0.534,0.8058333333333333,0.5370909168785317,0.0
49,1000,50,g,0.6,0.477,0.49041666666666667,0.3516355528934145,0.0
50,1000,50,g,0.65,0.531,0.5129166666666666,0.37343935272372186,0.0
51,1000,50,g,0.7,0.477,0.49041666666666667,0.3516355528934145,0.0
