,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.4709976798143852,0.4818276220145379,0.3919050837275662,0.569
1,1000,50,t,0.1,0.4709976798143852,0.4818276220145379,0.3919050837275662,0.569
2,1000,50,t,0.15,0.4709976798143852,0.4818276220145379,0.3919050837275662,0.569
3,1000,50,t,0.2,0.4709976798143852,0.4818276220145379,0.3919050837275662,0.569
4,1000,50,t,0.25,0.46403712296983757,0.48909657320872274,0.3507078507078507,0.569
5,1000,50,t,0.3,0.46403712296983757,0.48909657320872274,0.3507078507078507,0.569
6,1000,50,t,0.35,0.46403712296983757,0.48909657320872274,0.3507078507078507,0.569
7,1000,50,t,0.4,0.46403712296983757,0.48909657320872274,0.3507078507078507,0.569
8,1000,50,t,0.45,0.46403712296983757,0.48909657320872274,0.3507078507078507,0.569
9,1000,50,t,0.5,0.46403712296983757,0.48909657320872274,0.3507078507078507,0.569
10,1000,50,t,0.55,0.46403712296983757,0.48909657320872274,0.3507078507078507,0.569
11,1000,50,t,0.6,0.46403712296983757,0.48909657320872274,0.36155202821869487,0.569
12,1000,50,t,0.65,0.4965197215777262,0.5036344755970924,0.35666023166023164,0.569
13,1000,50,t,0.7,0.4965197215777262,0.5036344755970924,0.35666023166023164,0.569
14,1000,50,t,0.75,0.3805104408352668,0.4517133956386293,0.33100341721031373,0.569
15,1000,50,t,0.8,0.5916473317865429,0.8172377985462097,0.59087348217783,0.569
16,1000,50,t,0.85,0.5916473317865429,0.8172377985462097,0.59087348217783,0.569
17,1000,50,t,0.9,0.5916473317865429,0.8172377985462097,0.59087348217783,0.569
18,1000,50,t,0.95,0.5916473317865429,0.8172377985462097,0.59087348217783,0.569
19,1000,50,e,0.05,0.434,0.4725,0.36268553034527967,0.0
20,1000,50,e,0.1,0.434,0.4725,0.36268553034527967,0.0
21,1000,50,e,0.15,0.434,0.4725,0.36268553034527967,0.0
22,1000,50,e,0.2,0.434,0.4725,0.36268553034527967,0.0
23,1000,50,e,0.25,0.494,0.4975,0.367793749251982,0.0
24,1000,50,e,0.3,0.494,0.4975,0.367793749251982,0.0
25,1000,50,e,0.35,0.494,0.4975,0.367793749251982,0.0
26,1000,50,e,0.4,0.494,0.4975,0.367793749251982,0.0
27,1000,50,e,0.45,0.494,0.4975,0.38079947880310855,0.0
28,1000,50,e,0.5,0.528,0.5116666666666667,0.3721388193865258,0.0
29,1000,50,e,0.55,0.559,0.81625,0.5414272450443782,0.0
30,1000,50,e,0.6,0.559,0.81625,0.5414272450443782,0.0
