,data size,granules,accuracy,recall,precision
0,1000,none,0.396,0.4566666666666667,0.33619045107295764
1,1000,50,0.435,0.47291666666666665,0.36388611696295475
2,1000,100,0.496,0.49833333333333335,0.3702956989247312
3,1000,200,0.477,0.49041666666666667,0.38600115098450277
4,2000,none,0.577,0.8179166666666666,0.5459028395442691
5,2000,50,0.561,0.8054166666666666,0.537079582488906
6,2000,100,0.479,0.49124999999999996,0.35420071780025664
7,2000,200,0.3855,0.4522916666666667,0.337199779261087
8,5000,none,0.4414,0.4306666666666667,0.3601226250047078
9,5000,50,0.4572,0.48216666666666663,0.37131511255703814
10,5000,100,0.4702,0.4875833333333333,0.36248153025565816
11,5000,200,0.456,0.36033333333333334,0.3508696798954447
12,10000,none,0.3858,0.4524166666666667,0.34706294958978035
13,10000,50,0.4503,0.47929166666666667,0.3416131358244024
14,10000,100,0.4178,0.46575000000000005,0.3428679565002272
15,10000,200,0.526,0.8024999999999999,0.5317814513841712
16,20000,none,0.46565,0.4748958333333333,0.3636909678404829
17,20000,50,0.5066,0.7942708333333334,0.5257218102370086
18,20000,100,0.46795,0.4866458333333334,0.37241264122180223
19,20000,200,0.45685,0.48187500000000005,0.3547175436277174
20,30000,none,0.3945,0.45608333333333334,0.34513213775876556
21,30000,50,0.5767,0.8233336663336663,0.5519778563925971
22,30000,100,0.48506666666666665,0.4938194444444444,0.3564359573201447
23,30000,200,0.47446666666666665,0.489125222000222,0.3500814306122188
24,40000,none,0.51685,0.7983959166458385,0.5284786686152663
25,40000,50,0.48355,0.492989624989586,0.37476823624606154
26,40000,100,0.44585,0.4773541874947929,0.3378608052181635
27,40000,200,0.479475,0.4912917083229193,0.37044272144309476
28,50000,none,0.42896,0.4704165464502772,0.3603398409560817
29,50000,50,0.42956,0.4701675051573834,0.3748889307254508
30,50000,100,0.46038,0.48379952086244765,0.352524916298565
31,50000,200,0.47556,0.48989166666666667,0.36213005673083876
