,data size,granules number,relation type,ksi,accuracy,recall,precision
0,1000,50,t,0.05,0.555,0.5229166666666667,0.3704550031080643
1,1000,50,t,0.1,0.555,0.5229166666666667,0.3704550031080643
2,1000,50,t,0.15,0.555,0.5229166666666667,0.3704550031080643
3,1000,50,t,0.2,0.555,0.5229166666666667,0.3704550031080643
4,1000,50,t,0.25,0.555,0.5229166666666667,0.3587433587433588
5,1000,50,t,0.3,0.555,0.5229166666666667,0.39105890342639454
6,1000,50,t,0.35,0.555,0.5229166666666667,0.3704550031080643
7,1000,50,t,0.4,0.555,0.5229166666666667,0.3704550031080643
8,1000,50,t,0.45,0.652,0.27166666666666667,0.25508607198748046
9,1000,50,t,0.5,0.652,0.27166666666666667,0.25508607198748046
10,1000,50,t,0.55,0.558,0.2325,0.2453825857519789
11,1000,50,t,0.6,0.487,0.4945833333333334,0.3459900644660608
12,1000,50,t,0.65,0.63,0.2625,0.25301204819277107
13,1000,50,t,0.7,0.63,0.2625,0.25301204819277107
14,1000,50,t,0.75,0.63,0.2625,0.25301204819277107
15,1000,50,t,0.8,0.63,0.2625,0.25301204819277107
16,1000,50,t,0.85,0.677,0.2820833333333333,0.2573166096541239
17,1000,50,t,0.9,0.677,0.2820833333333333,0.2573166096541239
18,1000,50,t,0.95,0.487,0.4945833333333334,0.3397934306962293
19,1000,50,e,0.05,0.555,0.5229166666666667,0.3704550031080643
20,1000,50,e,0.1,0.555,0.5229166666666667,0.3704550031080643
21,1000,50,e,0.15,0.555,0.5229166666666667,0.3704550031080643
22,1000,50,e,0.2,0.555,0.5229166666666667,0.400499736377599
23,1000,50,e,0.25,0.555,0.5229166666666667,0.3587433587433588
24,1000,50,e,0.3,0.555,0.5229166666666667,0.3704550031080643
25,1000,50,e,0.35,0.555,0.5229166666666667,0.3704550031080643
26,1000,50,e,0.4,0.652,0.27166666666666667,0.25508607198748046
27,1000,50,e,0.45,0.487,0.4945833333333334,0.3459900644660608
28,1000,50,e,0.5,0.63,0.2625,0.25301204819277107
29,1000,50,e,0.55,0.63,0.2625,0.25301204819277107
30,1000,50,e,0.6,0.677,0.2820833333333333,0.2573166096541239
31,1000,50,e,0.65,0.487,0.4945833333333334,0.3397934306962293
32,1000,50,e,0.7,0.701,0.2920833333333333,0.2593414724380318
33,1000,50,e,0.75,0.598,0.24916666666666668,0.24979114452798665
34,1000,50,e,0.8,0.487,0.4945833333333334,0.3944954128440367
35,1000,50,e,0.85,0.598,0.24916666666666668,0.24979114452798665
36,1000,50,e,0.9,0.641,0.26708333333333334,0.25406262386048356
37,1000,50,e,0.95,0.607,0.2529166666666667,0.2507228418009087
38,1000,50,g,0.05,0.581,0.24208333333333332,0.24797268459240288
39,1000,50,g,0.1,0.652,0.27166666666666667,0.25508607198748046
40,1000,50,g,0.15,0.558,0.2325,0.2453825857519789
41,1000,50,g,0.2,0.63,0.2625,0.25301204819277107
42,1000,50,g,0.25,0.63,0.2625,0.25301204819277107
43,1000,50,g,0.3,0.677,0.2820833333333333,0.2573166096541239
44,1000,50,g,0.35,0.487,0.4945833333333334,0.3397934306962293
45,1000,50,g,0.4,0.57,0.23750000000000002,0.24675324675324675
46,1000,50,g,0.45,0.701,0.2920833333333333,0.2593414724380318
47,1000,50,g,0.5,0.701,0.2920833333333333,0.2593414724380318
48,1000,50,g,0.55,0.701,0.2920833333333333,0.2593414724380318
49,1000,50,g,0.6,0.598,0.24916666666666668,0.24979114452798665
50,1000,50,g,0.65,0.701,0.2920833333333333,0.2593414724380318
51,1000,50,g,0.7,0.701,0.2920833333333333,0.2593414724380318
52,1000,50,g,0.75,0.487,0.4945833333333334,0.3944954128440367
53,1000,50,g,0.8,0.487,0.4945833333333334,0.3944954128440367
54,1000,50,g,0.85,0.598,0.24916666666666668,0.24979114452798665
55,1000,50,g,0.9,0.641,0.26708333333333334,0.25406262386048356
56,1000,50,g,0.95,0.641,0.26708333333333334,0.25406262386048356
57,1000,100,t,0.05,0.65,0.8541666666666666,0.7407407407407408
58,1000,100,t,0.1,0.65,0.8541666666666666,0.7407407407407408
59,1000,100,t,0.15,0.738,0.8908333333333333,0.7587476979742173
60,1000,100,t,0.2,0.65,0.8541666666666666,0.7407407407407408
61,1000,100,t,0.25,0.738,0.8908333333333333,0.7587476979742173
62,1000,100,t,0.3,0.65,0.8541666666666666,0.7407407407407408
63,1000,100,t,0.35,0.65,0.8541666666666666,0.7407407407407408
64,1000,100,t,0.4,0.65,0.8541666666666666,0.7407407407407408
65,1000,100,t,0.45,0.65,0.8541666666666666,0.7407407407407408
66,1000,100,t,0.5,0.765,0.9020833333333332,0.7661691542288557
67,1000,100,t,0.55,0.65,0.8541666666666666,0.7407407407407408
68,1000,100,t,0.6,0.65,0.8541666666666666,0.7407407407407408
69,1000,100,t,0.65,0.65,0.8541666666666666,0.7407407407407408
70,1000,100,t,0.7,0.765,0.9020833333333332,0.7661691542288557
71,1000,100,t,0.75,1.0,1.0,1.0
72,1000,100,t,0.8,0.745,0.6020833333333333,0.6219239373601789
73,1000,100,t,0.85,0.745,0.6020833333333333,0.6219239373601789
74,1000,100,t,0.9,0.745,0.6020833333333333,0.6219239373601789
75,1000,100,t,0.95,0.745,0.6020833333333333,0.6219239373601789
76,1000,100,e,0.05,0.65,0.8541666666666666,0.7407407407407408
77,1000,100,e,0.1,0.65,0.8541666666666666,0.7407407407407408
78,1000,100,e,0.15,0.738,0.8908333333333333,0.7587476979742173
79,1000,100,e,0.2,0.65,0.8541666666666666,0.7407407407407408
80,1000,100,e,0.25,0.65,0.8541666666666666,0.7407407407407408
81,1000,100,e,0.3,0.65,0.8541666666666666,0.7407407407407408
82,1000,100,e,0.35,0.65,0.8541666666666666,0.7407407407407408
83,1000,100,e,0.4,0.765,0.9020833333333332,0.7661691542288557
84,1000,100,e,0.45,0.65,0.8541666666666666,0.7407407407407408
85,1000,100,e,0.5,1.0,1.0,1.0
86,1000,100,e,0.55,0.745,0.6020833333333333,0.6219239373601789
87,1000,100,e,0.6,0.745,0.6020833333333333,0.6219239373601789
88,1000,100,e,0.65,0.879,0.6579166666666666,0.6287447857413727
89,1000,100,e,0.7,0.879,0.6579166666666666,0.6287447857413727
90,1000,100,e,0.75,0.724,0.5933333333333334,0.6206261510128913
91,1000,100,e,0.8,0.902,0.6733333333333333,0.96362286562732
92,1000,100,e,0.85,0.879,0.6579166666666666,0.6287447857413727
93,1000,100,e,0.9,0.902,0.6733333333333333,0.96362286562732
94,1000,100,e,0.95,0.879,0.6579166666666666,0.6287447857413727
95,1000,100,g,0.05,0.65,0.8541666666666666,0.7407407407407408
96,1000,100,g,0.1,0.65,0.8541666666666666,0.7407407407407408
97,1000,100,g,0.15,0.745,0.6020833333333333,0.6219239373601789
98,1000,100,g,0.2,1.0,1.0,1.0
99,1000,100,g,0.25,1.0,1.0,1.0
100,1000,100,g,0.3,0.745,0.6020833333333333,0.6219239373601789
101,1000,100,g,0.35,0.745,0.6020833333333333,0.6219239373601789
102,1000,100,g,0.4,0.879,0.6579166666666666,0.6287447857413727
103,1000,100,g,0.45,0.879,0.6579166666666666,0.6287447857413727
104,1000,100,g,0.5,0.879,0.6579166666666666,0.6287447857413727
105,1000,100,g,0.55,0.879,0.6579166666666666,0.6287447857413727
106,1000,100,g,0.6,0.745,0.6020833333333333,0.6219239373601789
107,1000,100,g,0.65,0.902,0.6733333333333333,0.96362286562732
108,1000,100,g,0.7,0.902,0.6733333333333333,0.96362286562732
109,1000,100,g,0.75,0.902,0.6733333333333333,0.96362286562732
110,1000,100,g,0.8,0.868,0.6533333333333333,0.6282642089093703
111,1000,100,g,0.85,0.868,0.6533333333333333,0.6282642089093703
112,1000,100,g,0.9,0.902,0.6733333333333333,0.96362286562732
113,1000,100,g,0.95,0.902,0.6733333333333333,0.96362286562732
114,1000,200,t,0.05,1.0,1.0,1.0
115,1000,200,t,0.1,1.0,1.0,1.0
116,1000,200,t,0.15,1.0,1.0,1.0
117,1000,200,t,0.2,1.0,1.0,1.0
118,1000,200,t,0.25,1.0,1.0,1.0
119,1000,200,t,0.3,1.0,1.0,1.0
120,1000,200,t,0.35,1.0,1.0,1.0
121,1000,200,t,0.4,1.0,1.0,1.0
122,1000,200,t,0.45,1.0,1.0,1.0
123,1000,200,t,0.5,1.0,1.0,1.0
124,1000,200,t,0.55,1.0,1.0,1.0
125,1000,200,t,0.6,1.0,1.0,1.0
126,1000,200,t,0.65,1.0,1.0,1.0
127,1000,200,t,0.7,1.0,1.0,1.0
128,1000,200,t,0.75,1.0,1.0,1.0
129,1000,200,t,0.8,1.0,1.0,1.0
130,1000,200,t,0.85,1.0,1.0,1.0
131,1000,200,t,0.9,1.0,1.0,1.0
132,1000,200,t,0.95,1.0,1.0,1.0
133,1000,200,e,0.05,1.0,1.0,1.0
134,1000,200,e,0.1,1.0,1.0,1.0
135,1000,200,e,0.15,1.0,1.0,1.0
136,1000,200,e,0.2,1.0,1.0,1.0
137,1000,200,e,0.25,1.0,1.0,1.0
138,1000,200,e,0.3,1.0,1.0,1.0
139,1000,200,e,0.35,1.0,1.0,1.0
140,1000,200,e,0.4,1.0,1.0,1.0
141,1000,200,e,0.45,1.0,1.0,1.0
142,1000,200,e,0.5,1.0,1.0,1.0
143,1000,200,e,0.55,1.0,1.0,1.0
144,1000,200,e,0.6,1.0,1.0,1.0
145,1000,200,e,0.65,1.0,1.0,1.0
146,1000,200,e,0.7,1.0,1.0,1.0
147,1000,200,e,0.75,1.0,1.0,1.0
148,1000,200,e,0.8,1.0,1.0,1.0
149,1000,200,e,0.85,1.0,1.0,1.0
150,1000,200,e,0.9,0.87,0.6541666666666667,0.6283524904214559
151,1000,200,e,0.95,1.0,1.0,1.0
152,1000,200,g,0.05,1.0,1.0,1.0
153,1000,200,g,0.1,1.0,1.0,1.0
154,1000,200,g,0.15,1.0,1.0,1.0
155,1000,200,g,0.2,1.0,1.0,1.0
156,1000,200,g,0.25,1.0,1.0,1.0
157,1000,200,g,0.3,1.0,1.0,1.0
158,1000,200,g,0.35,1.0,1.0,1.0
159,1000,200,g,0.4,1.0,1.0,1.0
160,1000,200,g,0.45,1.0,1.0,1.0
161,1000,200,g,0.5,1.0,1.0,1.0
162,1000,200,g,0.55,1.0,1.0,1.0
163,1000,200,g,0.6,1.0,1.0,1.0
164,1000,200,g,0.65,1.0,1.0,1.0
165,1000,200,g,0.7,1.0,1.0,1.0
166,1000,200,g,0.75,1.0,1.0,1.0
167,1000,200,g,0.8,1.0,1.0,1.0
168,1000,200,g,0.85,1.0,1.0,1.0
169,1000,200,g,0.9,1.0,1.0,1.0
170,1000,200,g,0.95,1.0,1.0,1.0
171,2000,50,t,0.05,0.6835,0.5764583333333334,0.5
172,2000,50,t,0.1,0.6835,0.5764583333333334,0.6178980736405755
173,2000,50,t,0.15,0.6835,0.5764583333333334,0.6178980736405755
174,2000,50,t,0.2,0.6835,0.5764583333333334,0.6178980736405755
175,2000,50,t,0.25,0.6835,0.5764583333333334,0.6178980736405755
176,2000,50,t,0.3,0.6835,0.5764583333333334,0.6178980736405755
177,2000,50,t,0.35,0.6835,0.5764583333333334,0.6178980736405755
178,2000,50,t,0.4,0.6835,0.5764583333333334,0.6178980736405755
179,2000,50,t,0.45,0.6835,0.5764583333333334,0.6178980736405755
180,2000,50,t,0.5,0.6835,0.5764583333333334,0.6178980736405755
181,2000,50,t,0.55,0.6835,0.5764583333333334,0.6178980736405755
182,2000,50,t,0.6,0.6835,0.5764583333333334,0.6178980736405755
183,2000,50,t,0.65,0.6835,0.5764583333333334,0.6178980736405755
184,2000,50,t,0.7,0.6835,0.5764583333333334,0.6178980736405755
185,2000,50,t,0.75,0.6835,0.5764583333333334,0.6178980736405755
186,2000,50,t,0.8,0.6835,0.5764583333333334,0.6178980736405755
187,2000,50,t,0.85,0.5305,0.22104166666666666,0.24207164042892995
188,2000,50,t,0.9,0.5305,0.22104166666666666,0.24207164042892995
189,2000,50,t,0.95,0.6835,0.5764583333333334,0.6178980736405755
190,2000,50,e,0.05,0.6835,0.5764583333333334,0.5
191,2000,50,e,0.1,0.6835,0.5764583333333334,0.6178980736405755
192,2000,50,e,0.15,0.6835,0.5764583333333334,0.6178980736405755
193,2000,50,e,0.2,0.6835,0.5764583333333334,0.6178980736405755
194,2000,50,e,0.25,0.6835,0.5764583333333334,0.6178980736405755
195,2000,50,e,0.3,0.6835,0.5764583333333334,0.6178980736405755
196,2000,50,e,0.35,0.6835,0.5764583333333334,0.6178980736405755
197,2000,50,e,0.4,0.6835,0.5764583333333334,0.6178980736405755
198,2000,50,e,0.45,0.6835,0.5764583333333334,0.6178980736405755
199,2000,50,e,0.5,0.6835,0.5764583333333334,0.6178980736405755
200,2000,50,e,0.55,0.6835,0.5764583333333334,0.6178980736405755
201,2000,50,e,0.6,0.5305,0.22104166666666666,0.24207164042892995
202,2000,50,e,0.65,0.6835,0.5764583333333334,0.6178980736405755
203,2000,50,e,0.7,0.6835,0.5764583333333334,0.6178980736405755
204,2000,50,e,0.75,0.6835,0.5764583333333334,0.6178980736405755
205,2000,50,e,0.8,0.6835,0.5764583333333334,0.6178980736405755
206,2000,50,e,0.85,0.5835,0.243125,0.24824505424377794
207,2000,50,e,0.9,0.6835,0.5764583333333334,0.6178980736405755
208,2000,50,e,0.95,0.8665,0.6527083333333333,0.6281977303327563
209,2000,50,g,0.05,0.6835,0.5764583333333334,0.6178980736405755
210,2000,50,g,0.1,0.6835,0.5764583333333334,0.6178980736405755
211,2000,50,g,0.15,0.6835,0.5764583333333334,0.6178980736405755
212,2000,50,g,0.2,0.6835,0.5764583333333334,0.6178980736405755
213,2000,50,g,0.25,0.6835,0.5764583333333334,0.6178980736405755
214,2000,50,g,0.3,0.6835,0.5764583333333334,0.6178980736405755
215,2000,50,g,0.35,0.5305,0.22104166666666666,0.24207164042892995
216,2000,50,g,0.4,0.6835,0.5764583333333334,0.6178980736405755
217,2000,50,g,0.45,0.6835,0.5764583333333334,0.6178980736405755
218,2000,50,g,0.5,0.6835,0.5764583333333334,0.6178980736405755
219,2000,50,g,0.55,0.6835,0.5764583333333334,0.6178980736405755
220,2000,50,g,0.6,0.6835,0.5764583333333334,0.6178980736405755
221,2000,50,g,0.65,0.6835,0.5764583333333334,0.6178980736405755
222,2000,50,g,0.7,0.6835,0.5764583333333334,0.6178980736405755
223,2000,50,g,0.75,0.6835,0.5764583333333334,0.6178980736405755
224,2000,50,g,0.8,0.5835,0.243125,0.24824505424377794
225,2000,50,g,0.85,0.6835,0.5764583333333334,0.6178980736405755
226,2000,50,g,0.9,0.6835,0.5764583333333334,0.6178980736405755
227,2000,50,g,0.95,0.6835,0.5764583333333334,0.6178980736405755
228,2000,100,t,0.05,1.0,1.0,1.0
229,2000,100,t,0.1,1.0,1.0,1.0
230,2000,100,t,0.15,1.0,1.0,1.0
231,2000,100,t,0.2,1.0,1.0,1.0
232,2000,100,t,0.25,1.0,1.0,1.0
233,2000,100,t,0.3,1.0,1.0,1.0
234,2000,100,t,0.35,1.0,1.0,1.0
235,2000,100,t,0.4,1.0,1.0,1.0
236,2000,100,t,0.45,1.0,1.0,1.0
237,2000,100,t,0.5,0.6315,0.5547916666666667,0.6138822908419108
238,2000,100,t,0.55,0.6315,0.5547916666666667,0.5
239,2000,100,t,0.6,0.6315,0.5547916666666667,0.5
240,2000,100,t,0.65,0.7315,0.888125,0.757123473541384
241,2000,100,t,0.7,0.6315,0.5547916666666667,0.5
242,2000,100,t,0.75,0.6315,0.5547916666666667,0.5
243,2000,100,t,0.8,0.6315,0.5547916666666667,0.5
244,2000,100,t,0.85,0.6315,0.5547916666666667,0.5
245,2000,100,t,0.9,0.6315,0.5547916666666667,0.5
246,2000,100,t,0.95,0.6315,0.5547916666666667,0.6138822908419108
247,2000,100,e,0.05,1.0,1.0,1.0
248,2000,100,e,0.1,1.0,1.0,1.0
249,2000,100,e,0.15,1.0,1.0,1.0
250,2000,100,e,0.2,1.0,1.0,1.0
251,2000,100,e,0.25,1.0,1.0,1.0
252,2000,100,e,0.3,1.0,1.0,1.0
253,2000,100,e,0.35,1.0,1.0,1.0
254,2000,100,e,0.4,0.6315,0.5547916666666667,0.6138822908419108
255,2000,100,e,0.45,0.6315,0.5547916666666667,0.5
256,2000,100,e,0.5,0.6315,0.5547916666666667,0.5
257,2000,100,e,0.55,0.6315,0.5547916666666667,0.5
258,2000,100,e,0.6,0.6315,0.5547916666666667,0.5
259,2000,100,e,0.65,0.6315,0.5547916666666667,0.5
260,2000,100,e,0.7,0.6315,0.5547916666666667,0.5
261,2000,100,e,0.75,0.5315,0.22145833333333334,0.24219640009113694
262,2000,100,e,0.8,0.6315,0.5547916666666667,0.5
263,2000,100,e,0.85,0.6315,0.5547916666666667,0.5
264,2000,100,e,0.9,1.0,1.0,1.0
265,2000,100,e,0.95,0.534,0.2297916666666667,0.5763603109282122
266,2000,100,g,0.05,1.0,1.0,1.0
267,2000,100,g,0.1,1.0,1.0,1.0
