,data size,granules,accuracy,recall,precision
0,1000,none,1.0,1.0,1.0
1,1000,50,1.0,1.0,1.0
2,1000,100,1.0,1.0,1.0
3,1000,200,1.0,1.0,1.0
4,2000,none,1.0,1.0,1.0
5,2000,50,0.9995,0.9983333333333334,0.9983416252072969
6,2000,100,1.0,1.0,1.0
7,2000,200,1.0,1.0,1.0
8,5000,none,1.0,1.0,1.0
9,5000,50,1.0,1.0,1.0
10,5000,100,1.0,1.0,1.0
11,5000,200,0.9998,0.9993333333333334,0.9993346640053226
12,10000,none,0.9001,0.6669999999999999,0.8334167083541771
13,10000,50,0.9997,0.999,0.9998750468574285
14,10000,100,0.9999,0.9996666666666667,0.9999583385410157
15,10000,200,1.0,1.0,1.0
16,20000,none,0.90005,0.6668333333333334,0.8333750104192715
17,20000,50,0.9997,0.999,0.9997291992085806
18,20000,100,0.99975,0.9991666666666666,0.9997500208281264
19,20000,200,0.9999,0.9996666666666667,0.999812501302002
20,30000,none,0.9000666666666667,0.6665556665556666,0.5001389120408958
21,30000,50,0.9995,0.9983334427778873,0.9995967257931366
22,30000,100,0.9997666666666667,0.9992221103332214,0.999902806125991
23,30000,200,0.9999333333333333,0.9997779997779999,0.9998749264551899
24,40000,none,0.80005,0.3335000000104167,0.9333466673333667
25,40000,50,0.999675,0.9989166874322929,0.9997915883363134
26,40000,100,0.9997,0.9989999166041614,0.9995103489255364
27,40000,200,0.999925,0.9997500624843788,0.99982295864843
28,50000,none,0.80004,0.33346690709944565,0.6000160009600576
29,50000,50,0.9995,0.9983336879344821,0.9996746284107566
30,50000,100,0.99962,0.9987341692320416,0.9994326154610881
31,50000,200,0.9997,0.9990017967658216,0.999350007498875
