,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.621,0.345,0.4306518723994452,0.0
1,1000,50,t,0.1,0.547,0.3038888888888889,0.42272024729520863,0.0
2,1000,50,t,0.15,0.617,0.7872222222222223,0.6035196687370601,0.0
3,1000,50,t,0.2,0.674,0.37444444444444447,0.4354005167958656,0.0
4,1000,50,t,0.25,0.737,0.40944444444444444,0.4402628434886499,0.0
5,1000,50,t,0.3,0.737,0.40944444444444444,0.4402628434886499,0.0
6,1000,50,t,0.35,0.547,0.3038888888888889,0.42272024729520863,0.0
7,1000,50,t,0.4,0.701,0.3894444444444444,0.43757802746566793,0.0
8,1000,50,t,0.45,0.701,0.3894444444444444,0.43757802746566793,0.0
9,1000,50,t,0.5,0.703,0.39055555555555554,0.43773349937733497,0.0
10,1000,50,t,0.55,0.676,0.37555555555555553,0.43556701030927836,0.0
11,1000,50,t,0.6,0.676,0.37555555555555553,0.43556701030927836,0.0
12,1000,50,t,0.65,0.676,0.37555555555555553,0.43556701030927836,0.0
13,1000,50,t,0.7,0.676,0.37555555555555553,0.43556701030927836,0.0
14,1000,50,t,0.75,0.771,0.42833333333333334,0.4425947187141217,0.0
15,1000,50,t,0.8,0.771,0.42833333333333334,0.4425947187141217,0.0
16,1000,50,t,0.85,0.765,0.425,0.4421965317919075,0.0
17,1000,50,t,0.9,0.765,0.425,0.4421965317919075,0.0
18,1000,50,t,0.95,0.701,0.3894444444444444,0.43757802746566793,0.0
19,1000,50,e,0.05,0.621,0.345,0.4306518723994452,0.0
20,1000,50,e,0.1,0.547,0.3038888888888889,0.42272024729520863,0.0
21,1000,50,e,0.15,0.617,0.7872222222222223,0.6035196687370601,0.0
22,1000,50,e,0.2,0.674,0.37444444444444447,0.4354005167958656,0.0
23,1000,50,e,0.25,0.737,0.40944444444444444,0.4402628434886499,0.0
24,1000,50,e,0.3,0.547,0.3038888888888889,0.42272024729520863,0.0
25,1000,50,e,0.35,0.701,0.3894444444444444,0.43757802746566793,0.0
26,1000,50,e,0.4,0.703,0.39055555555555554,0.43773349937733497,0.0
27,1000,50,e,0.45,0.676,0.37555555555555553,0.43556701030927836,0.0
28,1000,50,e,0.5,0.771,0.42833333333333334,0.4425947187141217,0.0
29,1000,50,e,0.55,0.771,0.42833333333333334,0.4425947187141217,0.0
30,1000,50,e,0.6,0.798,0.44333333333333336,0.4443207126948775,0.0
31,1000,50,e,0.65,0.772,0.4288888888888889,0.4426605504587156,0.0
32,1000,50,e,0.7,0.726,0.4033333333333333,0.43946731234866826,0.0
33,1000,50,e,0.75,0.679,0.37722222222222224,0.43581514762516044,0.0
34,1000,50,e,0.8,0.691,0.3838888888888889,0.4367888748419722,0.0
35,1000,50,e,0.85,0.801,0.445,0.4445061043285239,0.0
36,1000,50,e,0.9,0.743,0.4127777777777778,0.44068801897983395,0.0
37,1000,50,e,0.95,0.784,0.43555555555555553,0.4434389140271493,0.0
38,1000,50,g,0.05,0.547,0.3038888888888889,0.42272024729520863,0.0
39,1000,50,g,0.1,0.701,0.3894444444444444,0.43757802746566793,0.0
40,1000,50,g,0.15,0.676,0.37555555555555553,0.43556701030927836,0.0
41,1000,50,g,0.2,0.676,0.37555555555555553,0.43556701030927836,0.0
42,1000,50,g,0.25,0.771,0.42833333333333334,0.4425947187141217,0.0
43,1000,50,g,0.3,0.765,0.425,0.4421965317919075,0.0
44,1000,50,g,0.35,0.798,0.44333333333333336,0.4443207126948775,0.0
45,1000,50,g,0.4,0.618,0.3433333333333333,0.43036211699164345,0.0
46,1000,50,g,0.45,0.701,0.3894444444444444,0.43757802746566793,0.0
47,1000,50,g,0.5,0.772,0.4288888888888889,0.4426605504587156,0.0
48,1000,50,g,0.55,0.679,0.37722222222222224,0.43581514762516044,0.0
49,1000,50,g,0.6,0.679,0.37722222222222224,0.43581514762516044,0.0
50,1000,50,g,0.65,0.741,0.4116666666666667,0.4405469678953627,0.0
51,1000,50,g,0.7,0.772,0.4288888888888889,0.4426605504587156,0.0
52,1000,50,g,0.75,0.606,0.33666666666666667,0.42917847025495753,0.0
53,1000,50,g,0.8,0.672,0.37333333333333335,0.43523316062176165,0.0
54,1000,50,g,0.85,0.8,0.4444444444444444,0.4444444444444444,0.0
55,1000,50,g,0.9,0.772,0.4288888888888889,0.4426605504587156,0.0
56,1000,50,g,0.95,0.805,0.44722222222222224,0.4447513812154696,0.0
57,1000,100,t,0.05,0.577,0.32055555555555554,0.4261447562776957,0.0
58,1000,100,t,0.1,0.735,0.4083333333333333,0.44011976047904194,0.0
59,1000,100,t,0.15,0.69,0.38333333333333336,0.43670886075949367,0.0
60,1000,100,t,0.2,0.69,0.38333333333333336,0.43670886075949367,0.0
61,1000,100,t,0.25,0.697,0.38722222222222225,0.4372647427854454,0.0
62,1000,100,t,0.3,0.697,0.38722222222222225,0.4372647427854454,0.0
63,1000,100,t,0.35,0.504,0.28,0.41721854304635764,0.0
64,1000,100,t,0.4,0.761,0.42277777777777775,0.4419279907084785,0.0
65,1000,100,t,0.45,0.779,0.43277777777777776,0.4431171786120592,0.0
66,1000,100,t,0.5,0.693,0.385,0.4369482976040353,0.0
67,1000,100,t,0.55,0.693,0.385,0.4369482976040353,0.0
68,1000,100,t,0.6,0.693,0.385,0.4369482976040353,0.0
69,1000,100,t,0.65,0.714,0.39666666666666667,0.43857493857493857,0.0
70,1000,100,t,0.7,0.69,0.38333333333333336,0.43670886075949367,0.0
71,1000,100,t,0.75,0.69,0.38333333333333336,0.43670886075949367,0.0
72,1000,100,t,0.8,0.753,0.41833333333333333,0.4413833528722157,0.0
73,1000,100,t,0.85,0.652,0.3622222222222222,0.43351063829787234,0.0
74,1000,100,t,0.9,0.761,0.42277777777777775,0.4419279907084785,0.0
75,1000,100,t,0.95,0.752,0.4177777777777778,0.4413145539906103,0.0
76,1000,100,e,0.05,0.577,0.32055555555555554,0.4261447562776957,0.0
77,1000,100,e,0.1,0.735,0.4083333333333333,0.44011976047904194,0.0
78,1000,100,e,0.15,0.735,0.4083333333333333,0.44011976047904194,0.0
79,1000,100,e,0.2,0.735,0.4083333333333333,0.44011976047904194,0.0
80,1000,100,e,0.25,0.697,0.38722222222222225,0.4372647427854454,0.0
81,1000,100,e,0.3,0.708,0.3933333333333333,0.4381188118811881,0.0
82,1000,100,e,0.35,0.616,0.3422222222222222,0.4301675977653631,0.0
83,1000,100,e,0.4,0.693,0.385,0.4369482976040353,0.0
84,1000,100,e,0.45,0.761,0.42277777777777775,0.4419279907084785,0.0
85,1000,100,e,0.5,0.69,0.38333333333333336,0.43670886075949367,0.0
86,1000,100,e,0.55,0.753,0.41833333333333333,0.4413833528722157,0.0
87,1000,100,e,0.6,0.761,0.42277777777777775,0.4419279907084785,0.0
88,1000,100,e,0.65,0.791,0.43944444444444447,0.44388327721661053,0.0
89,1000,100,e,0.7,0.603,0.335,0.42887624466571833,0.0
90,1000,100,e,0.75,0.693,0.385,0.4369482976040353,0.0
91,1000,100,e,0.8,0.713,0.39611111111111114,0.43849938499384994,0.0
92,1000,100,e,0.85,0.699,0.3883333333333333,0.4374217772215269,0.0
93,1000,100,e,0.9,0.707,0.3927777777777778,0.43804213135068154,0.0
94,1000,100,e,0.95,0.734,0.4077777777777778,0.44004796163069543,0.0
95,1000,100,g,0.05,0.697,0.38722222222222225,0.4372647427854454,0.0
96,1000,100,g,0.1,0.719,0.39944444444444444,0.43894993894993894,0.0
97,1000,100,g,0.15,0.693,0.385,0.4369482976040353,0.0
98,1000,100,g,0.2,0.69,0.38333333333333336,0.43670886075949367,0.0
99,1000,100,g,0.25,0.69,0.38333333333333336,0.43670886075949367,0.0
100,1000,100,g,0.3,0.652,0.3622222222222222,0.43351063829787234,0.0
101,1000,100,g,0.35,0.761,0.42277777777777775,0.4419279907084785,0.0
102,1000,100,g,0.4,0.775,0.4305555555555556,0.44285714285714284,0.0
103,1000,100,g,0.45,0.791,0.43944444444444447,0.44388327721661053,0.0
104,1000,100,g,0.5,0.603,0.335,0.42887624466571833,0.0
105,1000,100,g,0.55,0.779,0.43277777777777776,0.4431171786120592,0.0
106,1000,100,g,0.6,0.63,0.35,0.4315068493150685,0.0
107,1000,100,g,0.65,0.827,0.45944444444444443,0.44606256742179073,0.0
108,1000,100,g,0.7,0.777,0.43166666666666664,0.4429874572405929,0.0
109,1000,100,g,0.75,0.773,0.42944444444444446,0.4427262313860252,0.0
110,1000,100,g,0.8,0.616,0.3422222222222222,0.4301675977653631,0.0
111,1000,100,g,0.85,0.745,0.41388888888888886,0.4408284023668639,0.0
112,1000,100,g,0.9,0.727,0.4038888888888889,0.439540507859734,0.0
113,1000,100,g,0.95,0.776,0.4311111111111111,0.4429223744292237,0.0
114,1000,200,t,0.05,0.598,0.3322222222222222,0.4283667621776504,0.0
115,1000,200,t,0.1,0.558,0.31,0.42401215805471126,0.0
116,1000,200,t,0.15,0.598,0.3322222222222222,0.4283667621776504,0.0
117,1000,200,t,0.2,0.727,0.4038888888888889,0.439540507859734,0.0
118,1000,200,t,0.25,0.5,0.2777777777777778,0.4166666666666667,0.0
119,1000,200,t,0.3,0.623,0.3461111111111111,0.43084370677731676,0.0
120,1000,200,t,0.35,0.787,0.43722222222222223,0.443630214205186,0.0
121,1000,200,t,0.4,0.573,0.31833333333333336,0.42570579494799404,0.0
122,1000,200,t,0.45,0.706,0.39222222222222225,0.43796526054590573,0.0
123,1000,200,t,0.5,0.717,0.3983333333333333,0.43880048959608325,0.0
124,1000,200,t,0.55,0.547,0.3038888888888889,0.42272024729520863,0.0
125,1000,200,t,0.6,0.526,0.2922222222222222,0.42012779552715657,0.0
126,1000,200,t,0.65,0.538,0.29888888888888887,0.4216300940438871,0.0
127,1000,200,t,0.7,0.799,0.4438888888888889,0.44438264738598443,0.0
128,1000,200,t,0.75,0.713,0.39611111111111114,0.43849938499384994,0.0
129,1000,200,t,0.8,0.788,0.43777777777777777,0.4436936936936937,0.0
130,1000,200,t,0.85,0.591,0.3283333333333333,0.4276410998552822,0.0
131,1000,200,t,0.9,0.743,0.4127777777777778,0.44068801897983395,0.0
132,1000,200,t,0.95,0.774,0.43,0.44279176201373,0.0
133,1000,200,e,0.05,0.598,0.3322222222222222,0.4283667621776504,0.0
134,1000,200,e,0.1,0.709,0.3938888888888889,0.43819530284301605,0.0
135,1000,200,e,0.15,0.598,0.3322222222222222,0.4283667621776504,0.0
136,1000,200,e,0.2,0.727,0.4038888888888889,0.439540507859734,0.0
137,1000,200,e,0.25,0.674,0.37444444444444447,0.4354005167958656,0.0
138,1000,200,e,0.3,0.767,0.4261111111111111,0.44232987312572086,0.0
139,1000,200,e,0.35,0.667,0.3705555555555556,0.4348109517601043,0.0
140,1000,200,e,0.4,0.749,0.4161111111111111,0.44110718492343937,0.0
141,1000,200,e,0.45,0.526,0.2922222222222222,0.42012779552715657,0.0
142,1000,200,e,0.5,0.716,0.3977777777777778,0.4387254901960784,0.0
143,1000,200,e,0.55,0.788,0.43777777777777777,0.4436936936936937,0.0
144,1000,200,e,0.6,0.683,0.3794444444444444,0.43614303959131545,0.0
