,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,0.4671717171717172,0.3125,0.32456140350877194,0.604
1,1000,50,t,0.1,0.4671717171717172,0.3125,0.32456140350877194,0.604
2,1000,50,t,0.15,0.5075757575757576,0.33952702702702703,0.3338870431893688,0.604
3,1000,50,t,0.2,0.4671717171717172,0.3125,0.32456140350877194,0.604
4,1000,50,t,0.25,0.4671717171717172,0.3125,0.32456140350877194,0.604
5,1000,50,t,0.3,0.5782828282828283,0.38682432432432434,0.34802431610942247,0.604
6,1000,50,t,0.35,0.4898989898989899,0.3277027027027027,0.3299319727891156,0.604
7,1000,50,t,0.4,0.5782828282828283,0.38682432432432434,0.34802431610942247,0.604
8,1000,50,t,0.45,0.5454545454545454,0.36486486486486486,0.34177215189873417,0.604
9,1000,50,t,0.5,0.5505050505050505,0.36824324324324326,0.34276729559748426,0.604
10,1000,50,t,0.55,0.5202020202020202,0.34797297297297297,0.3366013071895425,0.604
11,1000,50,t,0.6,0.5833333333333334,0.3902027027027027,0.34894259818731116,0.604
12,1000,50,t,0.65,0.5833333333333334,0.3902027027027027,0.34894259818731116,0.604
13,1000,50,t,0.7,0.5656565656565656,0.3783783783783784,0.345679012345679,0.604
14,1000,50,t,0.75,0.5656565656565656,0.3783783783783784,0.345679012345679,0.604
15,1000,50,t,0.8,0.6893939393939394,0.46114864864864863,0.36595174262734587,0.604
16,1000,50,t,0.85,0.4696969696969697,0.3141891891891892,0.32517482517482516,0.604
17,1000,50,t,0.9,0.5782828282828283,0.38682432432432434,0.34802431610942247,0.604
18,1000,50,t,0.95,0.5782828282828283,0.38682432432432434,0.34802431610942247,0.604
19,1000,50,e,0.05,0.583,0.3238888888888889,0.4267935578330893,0.0
20,1000,50,e,0.1,0.583,0.3238888888888889,0.4267935578330893,0.0
21,1000,50,e,0.15,0.611,0.7838888888888889,0.6022494887525562,0.0
22,1000,50,e,0.2,0.669,0.37166666666666665,0.43498049414824447,0.0
23,1000,50,e,0.25,0.669,0.37166666666666665,0.43498049414824447,0.0
24,1000,50,e,0.3,0.604,0.33555555555555555,0.4289772727272727,0.0
25,1000,50,e,0.35,0.638,0.35444444444444445,0.43224932249322495,0.0
26,1000,50,e,0.4,0.457,0.2538888888888889,0.4102333931777379,0.0
27,1000,50,e,0.45,0.725,0.4027777777777778,0.4393939393939394,0.0
28,1000,50,e,0.5,0.69,0.38333333333333336,0.43670886075949367,0.0
29,1000,50,e,0.55,0.818,0.45444444444444443,0.4455337690631808,0.0
30,1000,50,e,0.6,0.669,0.37166666666666665,0.43498049414824447,0.0
31,1000,50,e,0.65,0.669,0.37166666666666665,0.43498049414824447,0.0
32,1000,50,e,0.7,0.694,0.38555555555555554,0.43702770780856426,0.0
33,1000,50,e,0.75,0.809,0.4494444444444444,0.444994499449945,0.0
34,1000,50,e,0.8,0.789,0.43833333333333335,0.4437570303712036,0.0
35,1000,50,e,0.85,0.571,0.31722222222222224,0.4254843517138599,0.0
36,1000,50,e,0.9,0.616,0.3422222222222222,0.4301675977653631,0.0
