,data size,granules,accuracy,recall,precision
0,1000,none,0.665,0.8138888888888889,0.6149425287356322
1,1000,50,0.576,0.32,0.4260355029585799
2,1000,100,0.496,0.27555555555555555,0.4161073825503356
3,1000,200,0.727,0.4038888888888889,0.439540507859734
4,2000,none,0.5815,0.7675000000000001,0.5964320154291225
5,2000,50,0.5905,0.32805555555555554,0.4275887038377987
6,2000,100,0.509,0.2827777777777778,0.4178981937602627
7,2000,200,0.536,0.29777777777777775,0.42138364779874216
8,5000,none,0.455,0.25277777777777777,0.4099099099099099
9,5000,50,0.5814,0.323,0.4266216612855885
10,5000,100,0.6562,0.8089999999999999,0.6126633618747184
11,5000,200,0.5672,0.3151111111111111,0.4250599520383693
12,10000,none,0.6839,0.8243888888888888,0.6201634222542658
13,10000,50,0.5729,0.31827777777777777,0.4256947540496359
14,10000,100,0.634,0.3522222222222222,0.4318801089918256
15,10000,200,0.6554,0.3641111111111111,0.433809902038655
16,20000,none,0.5814,0.7674444444444444,0.5964134207481682
17,20000,50,0.68485,0.8249166666666667,0.6204383957605685
18,20000,100,0.58195,0.7677499999999999,0.596515780330084
19,20000,200,0.57265,0.7625833333333334,0.5948136910969944
20,30000,none,0.5303666666666667,0.29464814814814816,0.4206810850827561
21,30000,50,0.5751333333333334,0.31951851851851854,0.42594055495210825
22,30000,100,0.45693333333333336,0.25385185185185183,0.41022264783337326
23,30000,200,0.8486666666666667,0.9159259259259259,0.6989389920424403
24,40000,none,0.576575,0.32031944444444443,0.4260983630787422
25,40000,50,0.495975,0.2755416666666667,0.41610386341708966
26,40000,100,0.58465,0.32480555555555557,0.4269699846636968
27,40000,200,0.69545,0.8308055555555556,0.6235941169200346
28,50000,none,0.60786,0.3377,0.429364563614274
29,50000,50,0.49246,0.2735888888888889,0.41560611686864934
30,50000,100,0.60108,0.7783777777777778,0.6002164675699511
31,50000,200,0.68952,0.8275111111111111,0.6218086143052036
