,data size,granules number,relation type,ksi,accuracy,recall,precision
0,1000,50,t,0.05,1.0,1.0,1.0
1,1000,50,t,0.1,1.0,1.0,1.0
2,1000,50,t,0.15,1.0,1.0,1.0
3,1000,50,t,0.2,1.0,1.0,1.0
4,1000,50,t,0.25,1.0,1.0,1.0
5,1000,50,t,0.3,1.0,1.0,1.0
6,1000,50,t,0.35,1.0,1.0,1.0
7,1000,50,t,0.4,1.0,1.0,1.0
8,1000,50,t,0.45,1.0,1.0,1.0
9,1000,50,t,0.5,1.0,1.0,1.0
10,1000,50,t,0.55,1.0,1.0,1.0
11,1000,50,t,0.6,0.877,0.4872222222222222,0.44882292732855683
12,1000,50,t,0.65,1.0,1.0,1.0
13,1000,50,t,0.7,1.0,1.0,1.0
14,1000,50,t,0.75,1.0,1.0,1.0
15,1000,50,t,0.8,1.0,1.0,1.0
16,1000,50,t,0.85,1.0,1.0,1.0
17,1000,50,t,0.9,1.0,1.0,1.0
18,1000,50,t,0.95,1.0,1.0,1.0
19,1000,50,e,0.05,1.0,1.0,1.0
20,1000,50,e,0.1,1.0,1.0,1.0
21,1000,50,e,0.15,1.0,1.0,1.0
22,1000,50,e,0.2,1.0,1.0,1.0
23,1000,50,e,0.25,1.0,1.0,1.0
24,1000,50,e,0.3,1.0,1.0,1.0
25,1000,50,e,0.35,1.0,1.0,1.0
26,1000,50,e,0.4,1.0,1.0,1.0
27,1000,50,e,0.45,0.877,0.4872222222222222,0.44882292732855683
28,1000,50,e,0.5,1.0,1.0,1.0
29,1000,50,e,0.55,1.0,1.0,1.0
30,1000,50,e,0.6,1.0,1.0,1.0
31,1000,50,e,0.65,0.878,0.48777777777777775,0.4488752556237219
32,1000,50,e,0.7,1.0,1.0,1.0
33,1000,50,e,0.75,0.866,0.4811111111111111,0.44824016563146996
34,1000,50,e,0.8,1.0,1.0,1.0
35,1000,50,e,0.85,0.866,0.4811111111111111,0.44824016563146996
36,1000,50,e,0.9,0.878,0.48777777777777775,0.4488752556237219
37,1000,50,e,0.95,0.855,0.475,0.4476439790575916
38,1000,50,g,0.05,1.0,1.0,1.0
39,1000,50,g,0.1,1.0,1.0,1.0
40,1000,50,g,0.15,1.0,1.0,1.0
41,1000,50,g,0.2,1.0,1.0,1.0
42,1000,50,g,0.25,1.0,1.0,1.0
43,1000,50,g,0.3,1.0,1.0,1.0
44,1000,50,g,0.35,1.0,1.0,1.0
45,1000,50,g,0.4,0.878,0.48777777777777775,0.4488752556237219
46,1000,50,g,0.45,0.882,0.49,0.44908350305498984
47,1000,50,g,0.5,0.878,0.48777777777777775,0.4488752556237219
48,1000,50,g,0.55,1.0,1.0,1.0
49,1000,50,g,0.6,0.85,0.4722222222222222,0.4473684210526316
50,1000,50,g,0.65,0.878,0.48777777777777775,0.4488752556237219
51,1000,50,g,0.7,0.866,0.4811111111111111,0.44824016563146996
52,1000,50,g,0.75,0.788,0.43777777777777777,0.4436936936936937
53,1000,50,g,0.8,0.872,0.48444444444444446,0.448559670781893
54,1000,50,g,0.85,0.878,0.48777777777777775,0.4488752556237219
55,1000,50,g,0.9,0.878,0.48777777777777775,0.4488752556237219
56,1000,50,g,0.95,0.88,0.4888888888888889,0.4489795918367347
57,1000,100,t,0.05,1.0,1.0,1.0
58,1000,100,t,0.1,1.0,1.0,1.0
59,1000,100,t,0.15,1.0,1.0,1.0
60,1000,100,t,0.2,1.0,1.0,1.0
61,1000,100,t,0.25,1.0,1.0,1.0
62,1000,100,t,0.3,1.0,1.0,1.0
63,1000,100,t,0.35,1.0,1.0,1.0
64,1000,100,t,0.4,1.0,1.0,1.0
65,1000,100,t,0.45,1.0,1.0,1.0
66,1000,100,t,0.5,1.0,1.0,1.0
67,1000,100,t,0.55,1.0,1.0,1.0
68,1000,100,t,0.6,1.0,1.0,1.0
69,1000,100,t,0.65,1.0,1.0,1.0
70,1000,100,t,0.7,1.0,1.0,1.0
71,1000,100,t,0.75,1.0,1.0,1.0
