,data size,granules number,relation type,ksi,accuracy,recall,precision,noise percentage
0,1000,50,t,0.05,1.0,1.0,1.0,0.604
1,1000,50,t,0.1,1.0,1.0,1.0,0.604
2,1000,50,t,0.15,1.0,1.0,1.0,0.604
3,1000,50,t,0.2,1.0,1.0,1.0,0.604
4,1000,50,t,0.25,1.0,1.0,1.0,0.604
5,1000,50,t,0.3,1.0,1.0,1.0,0.604
6,1000,50,t,0.35,1.0,1.0,1.0,0.604
7,1000,50,t,0.4,1.0,1.0,1.0,0.604
8,1000,50,t,0.45,1.0,1.0,1.0,0.604
9,1000,50,t,0.5,1.0,1.0,1.0,0.604
10,1000,50,t,0.55,1.0,1.0,1.0,0.604
11,1000,50,t,0.6,1.0,1.0,1.0,0.604
12,1000,50,t,0.65,1.0,1.0,1.0,0.604
13,1000,50,t,0.7,1.0,1.0,1.0,0.604
14,1000,50,t,0.75,1.0,1.0,1.0,0.604
15,1000,50,t,0.8,1.0,1.0,1.0,0.604
16,1000,50,t,0.85,1.0,1.0,1.0,0.604
17,1000,50,t,0.9,1.0,1.0,1.0,0.604
18,1000,50,t,0.95,1.0,1.0,1.0,0.604
19,1000,50,e,0.05,1.0,1.0,1.0,0.0
20,1000,50,e,0.1,1.0,1.0,1.0,0.0
21,1000,50,e,0.15,1.0,1.0,1.0,0.0
22,1000,50,e,0.2,1.0,1.0,1.0,0.0
23,1000,50,e,0.25,1.0,1.0,1.0,0.0
24,1000,50,e,0.3,1.0,1.0,1.0,0.0
25,1000,50,e,0.35,1.0,1.0,1.0,0.0
26,1000,50,e,0.4,1.0,1.0,1.0,0.0
27,1000,50,e,0.45,1.0,1.0,1.0,0.0
28,1000,50,e,0.5,1.0,1.0,1.0,0.0
29,1000,50,e,0.55,1.0,1.0,1.0,0.0
30,1000,50,e,0.6,1.0,1.0,1.0,0.0
31,1000,50,e,0.65,1.0,1.0,1.0,0.0
32,1000,50,e,0.7,1.0,1.0,1.0,0.0
33,1000,50,e,0.75,0.857,0.4761111111111111,0.4477533960292581,0.0
34,1000,50,e,0.8,1.0,1.0,1.0,0.0
35,1000,50,e,0.85,1.0,1.0,1.0,0.0
36,1000,50,e,0.9,0.868,0.4822222222222222,0.44834710743801653,0.0
37,1000,50,e,0.95,0.669,0.37166666666666665,0.43498049414824447,0.0
38,1000,50,g,0.05,1.0,1.0,1.0,0.0
39,1000,50,g,0.1,1.0,1.0,1.0,0.0
40,1000,50,g,0.15,1.0,1.0,1.0,0.0
41,1000,50,g,0.2,1.0,1.0,1.0,0.0
42,1000,50,g,0.25,1.0,1.0,1.0,0.0
43,1000,50,g,0.3,1.0,1.0,1.0,0.0
44,1000,50,g,0.35,1.0,1.0,1.0,0.0
45,1000,50,g,0.4,1.0,1.0,1.0,0.0
46,1000,50,g,0.45,1.0,1.0,1.0,0.0
47,1000,50,g,0.5,1.0,1.0,1.0,0.0
48,1000,50,g,0.55,1.0,1.0,1.0,0.0
49,1000,50,g,0.6,1.0,1.0,1.0,0.0
50,1000,50,g,0.65,1.0,1.0,1.0,0.0
51,1000,50,g,0.7,1.0,1.0,1.0,0.0
52,1000,50,g,0.75,1.0,1.0,1.0,0.0
53,1000,50,g,0.8,1.0,1.0,1.0,0.0
54,1000,50,g,0.85,0.668,0.3711111111111111,0.4348958333333333,0.0
55,1000,50,g,0.9,0.874,0.4855555555555556,0.4486652977412731,0.0
56,1000,50,g,0.95,0.874,0.4855555555555556,0.4486652977412731,0.0
57,1000,100,t,0.05,1.0,1.0,1.0,0.607
58,1000,100,t,0.1,1.0,1.0,1.0,0.607
59,1000,100,t,0.15,1.0,1.0,1.0,0.607
60,1000,100,t,0.2,1.0,1.0,1.0,0.607
61,1000,100,t,0.25,1.0,1.0,1.0,0.607
62,1000,100,t,0.3,1.0,1.0,1.0,0.607
63,1000,100,t,0.35,1.0,1.0,1.0,0.607
64,1000,100,t,0.4,1.0,1.0,1.0,0.607
65,1000,100,t,0.45,1.0,1.0,1.0,0.607
66,1000,100,t,0.5,1.0,1.0,1.0,0.607
67,1000,100,t,0.55,1.0,1.0,1.0,0.607
68,1000,100,t,0.6,1.0,1.0,1.0,0.607
69,1000,100,t,0.65,1.0,1.0,1.0,0.607
70,1000,100,t,0.7,1.0,1.0,1.0,0.607
71,1000,100,t,0.75,1.0,1.0,1.0,0.607
72,1000,100,t,0.8,1.0,1.0,1.0,0.607
73,1000,100,t,0.85,1.0,1.0,1.0,0.607
74,1000,100,t,0.9,1.0,1.0,1.0,0.607
75,1000,100,t,0.95,1.0,1.0,1.0,0.607
76,1000,100,e,0.05,1.0,1.0,1.0,0.0
77,1000,100,e,0.1,1.0,1.0,1.0,0.0
78,1000,100,e,0.15,1.0,1.0,1.0,0.0
79,1000,100,e,0.2,1.0,1.0,1.0,0.0
80,1000,100,e,0.25,1.0,1.0,1.0,0.0
81,1000,100,e,0.3,1.0,1.0,1.0,0.0
82,1000,100,e,0.35,1.0,1.0,1.0,0.0
83,1000,100,e,0.4,1.0,1.0,1.0,0.0
84,1000,100,e,0.45,1.0,1.0,1.0,0.0
85,1000,100,e,0.5,1.0,1.0,1.0,0.0
86,1000,100,e,0.55,1.0,1.0,1.0,0.0
87,1000,100,e,0.6,1.0,1.0,1.0,0.0
88,1000,100,e,0.65,1.0,1.0,1.0,0.0
89,1000,100,e,0.7,1.0,1.0,1.0,0.0
90,1000,100,e,0.75,1.0,1.0,1.0,0.0
91,1000,100,e,0.8,1.0,1.0,1.0,0.0
92,1000,100,e,0.85,1.0,1.0,1.0,0.0
93,1000,100,e,0.9,1.0,1.0,1.0,0.0
94,1000,100,e,0.95,0.88,0.4888888888888889,0.4489795918367347,0.0
95,1000,100,g,0.05,1.0,1.0,1.0,0.0
96,1000,100,g,0.1,1.0,1.0,1.0,0.0
97,1000,100,g,0.15,1.0,1.0,1.0,0.0
98,1000,100,g,0.2,1.0,1.0,1.0,0.0
99,1000,100,g,0.25,1.0,1.0,1.0,0.0
100,1000,100,g,0.3,1.0,1.0,1.0,0.0
101,1000,100,g,0.35,1.0,1.0,1.0,0.0
102,1000,100,g,0.4,1.0,1.0,1.0,0.0
103,1000,100,g,0.45,1.0,1.0,1.0,0.0
104,1000,100,g,0.5,1.0,1.0,1.0,0.0
105,1000,100,g,0.55,1.0,1.0,1.0,0.0
106,1000,100,g,0.6,1.0,1.0,1.0,0.0
107,1000,100,g,0.65,1.0,1.0,1.0,0.0
108,1000,100,g,0.7,1.0,1.0,1.0,0.0
109,1000,100,g,0.75,1.0,1.0,1.0,0.0
110,1000,100,g,0.8,1.0,1.0,1.0,0.0
111,1000,100,g,0.85,1.0,1.0,1.0,0.0
112,1000,100,g,0.9,1.0,1.0,1.0,0.0
113,1000,100,g,0.95,1.0,1.0,1.0,0.0
114,1000,200,t,0.05,1.0,1.0,1.0,0.576
115,1000,200,t,0.1,1.0,1.0,1.0,0.576
116,1000,200,t,0.15,1.0,1.0,1.0,0.576
117,1000,200,t,0.2,1.0,1.0,1.0,0.576
118,1000,200,t,0.25,1.0,1.0,1.0,0.576
119,1000,200,t,0.3,1.0,1.0,1.0,0.576
120,1000,200,t,0.35,1.0,1.0,1.0,0.576
121,1000,200,t,0.4,1.0,1.0,1.0,0.576
122,1000,200,t,0.45,1.0,1.0,1.0,0.576
123,1000,200,t,0.5,1.0,1.0,1.0,0.576
124,1000,200,t,0.55,1.0,1.0,1.0,0.576
125,1000,200,t,0.6,1.0,1.0,1.0,0.576
126,1000,200,t,0.65,1.0,1.0,1.0,0.576
127,1000,200,t,0.7,1.0,1.0,1.0,0.576
128,1000,200,t,0.75,1.0,1.0,1.0,0.576
129,1000,200,t,0.8,1.0,1.0,1.0,0.576
130,1000,200,t,0.85,1.0,1.0,1.0,0.576
131,1000,200,t,0.9,1.0,1.0,1.0,0.576
132,1000,200,t,0.95,1.0,1.0,1.0,0.576
133,1000,200,e,0.05,1.0,1.0,1.0,0.0
134,1000,200,e,0.1,1.0,1.0,1.0,0.0
135,1000,200,e,0.15,1.0,1.0,1.0,0.0
136,1000,200,e,0.2,1.0,1.0,1.0,0.0
137,1000,200,e,0.25,1.0,1.0,1.0,0.0
138,1000,200,e,0.3,1.0,1.0,1.0,0.0
139,1000,200,e,0.35,1.0,1.0,1.0,0.0
140,1000,200,e,0.4,1.0,1.0,1.0,0.0
141,1000,200,e,0.45,1.0,1.0,1.0,0.0
142,1000,200,e,0.5,1.0,1.0,1.0,0.0
143,1000,200,e,0.55,1.0,1.0,1.0,0.0
144,1000,200,e,0.6,1.0,1.0,1.0,0.0
145,1000,200,e,0.65,1.0,1.0,1.0,0.0
146,1000,200,e,0.7,1.0,1.0,1.0,0.0
147,1000,200,e,0.75,1.0,1.0,1.0,0.0
148,1000,200,e,0.8,1.0,1.0,1.0,0.0
149,1000,200,e,0.85,1.0,1.0,1.0,0.0
150,1000,200,e,0.9,1.0,1.0,1.0,0.0
151,1000,200,e,0.95,1.0,1.0,1.0,0.0
152,1000,200,g,0.05,1.0,1.0,1.0,0.0
153,1000,200,g,0.1,1.0,1.0,1.0,0.0
154,1000,200,g,0.15,1.0,1.0,1.0,0.0
155,1000,200,g,0.2,1.0,1.0,1.0,0.0
156,1000,200,g,0.25,1.0,1.0,1.0,0.0
157,1000,200,g,0.3,1.0,1.0,1.0,0.0
158,1000,200,g,0.35,1.0,1.0,1.0,0.0
159,1000,200,g,0.4,1.0,1.0,1.0,0.0
160,1000,200,g,0.45,1.0,1.0,1.0,0.0
161,1000,200,g,0.5,1.0,1.0,1.0,0.0
162,1000,200,g,0.55,1.0,1.0,1.0,0.0
163,1000,200,g,0.6,1.0,1.0,1.0,0.0
164,1000,200,g,0.65,1.0,1.0,1.0,0.0
165,1000,200,g,0.7,1.0,1.0,1.0,0.0
166,1000,200,g,0.75,1.0,1.0,1.0,0.0
167,1000,200,g,0.8,1.0,1.0,1.0,0.0
168,1000,200,g,0.85,1.0,1.0,1.0,0.0
169,1000,200,g,0.9,1.0,1.0,1.0,0.0
170,1000,200,g,0.95,1.0,1.0,1.0,0.0
171,2000,50,t,0.05,1.0,1.0,1.0,0.633
172,2000,50,t,0.1,1.0,1.0,1.0,0.633
173,2000,50,t,0.15,1.0,1.0,1.0,0.633
174,2000,50,t,0.2,1.0,1.0,1.0,0.633
175,2000,50,t,0.25,1.0,1.0,1.0,0.633
176,2000,50,t,0.3,1.0,1.0,1.0,0.633
177,2000,50,t,0.35,1.0,1.0,1.0,0.633
178,2000,50,t,0.4,1.0,1.0,1.0,0.633
179,2000,50,t,0.45,1.0,1.0,1.0,0.633
180,2000,50,t,0.5,1.0,1.0,1.0,0.633
181,2000,50,t,0.55,1.0,1.0,1.0,0.633
182,2000,50,t,0.6,1.0,1.0,1.0,0.633
183,2000,50,t,0.65,1.0,1.0,1.0,0.633
184,2000,50,t,0.7,1.0,1.0,1.0,0.633
185,2000,50,t,0.75,1.0,1.0,1.0,0.633
186,2000,50,t,0.8,1.0,1.0,1.0,0.633
187,2000,50,t,0.85,0.6920980926430518,0.4756554307116105,0.3587570621468927,0.633
188,2000,50,t,0.9,0.6920980926430518,0.4756554307116105,0.3587570621468927,0.633
189,2000,50,t,0.95,1.0,1.0,1.0,0.633
190,2000,50,e,0.05,1.0,1.0,1.0,0.0
191,2000,50,e,0.1,1.0,1.0,1.0,0.0
192,2000,50,e,0.15,1.0,1.0,1.0,0.0
193,2000,50,e,0.2,1.0,1.0,1.0,0.0
194,2000,50,e,0.25,1.0,1.0,1.0,0.0
